Container is store 1000 plants:
0: Bush: month = Month.APRIL, name = LWgaPSeBNgjkj, GetQuotient = 0.15384615384615385
327: Bush: month = Month.DECEMBER, name = TSoULWGDePQjHxSyw, GetQuotient = 0.11764705882352941
328: Bush: month = Month.APRIL, name = UgDdaAnafHE, GetQuotient = 0.18181818181818182
329: Bush: month = Month.FEBRUARY, name = fhKjDtnmqWRDtN, GetQuotient = 0.0
330: Bush: month = Month.MAY, name = oDJ, GetQuotient = 0.3333333333333333
331: Bush: month = Month.NOVEMBER, name = IxhLiWM, GetQuotient = 0.14285714285714285
332: Flower: name = BGg, Type = Type.HOUSE, GetQuotient = 0.0
333: Tree: age = 76478, name = WApNeqenid, GetQuotient = 0.3
334: Flower: name = lfaQPakJYFxrjnmN, Type = Type.WILD, GetQuotient = 0.125
335: Tree: age = 37385, name = In, GetQuotient = 0.0
336: Bush: month = Month.JANUARY, name = XxKgrtkmSIkDc, GetQuotient = 0.0
337: Flower: name = wQHvZocVyGZVqMrNsJPk, Type = Type.WILD, GetQuotient = 0.05
338: Bush: month = Month.APRIL, name = lgKITQbYlTocitjOZX, GetQuotient = 0.1111111111111111
339: Bush: month = Month.MAY, name = UlrNWrErVn, GetQuotient = 0.0
340: Flower: name = uqWtyObOdkyrqqKBOGyt, Type = Type.GARDEN, GetQuotient = 0.05
341: Flower: name = lOhwHnOiDbNPDueHLj, Type = Type.WILD, GetQuotient = 0.16666666666666666
342: Bush: month = Month.JULY, name = kSUZsrtCPbQpgkCcRz, GetQuotient = 0.0
343: Bush: month = Month.MAY, name = kFNtmUqLIJi, GetQuotient = 0.09090909090909091
344: Tree: age = 64713, name = mEQwDnSVShGnnzUY, GetQuotient = 0.0
345: Tree: age = 64546, name = fmLFA, GetQuotient = 0.0
346: Tree: age = 27396, name = fOtuemISIK, GetQuotient = 0.2
347: Bush: month = Month.AUGUST, name = nsKBnCkHuy, GetQuotient = 0.1
348: Bush: month = Month.DECEMBER, name = vxLnyDIaTJqk, GetQuotient = 0.08333333333333333
349: Tree: age = 61591, name = gyXUdFJhYXuyYxvoA, GetQuotient = 0.11764705882352941
350: Bush: month = Month.DECEMBER, name = soneVPqra, GetQuotient = 0.3333333333333333
351: Tree: age = 29466, name = HIiLKvcaYzxUPaTBNtFv, GetQuotient = 0.15
352: Flower: name = MAEzBraqMJtVlydM, Type = Type.GARDEN, GetQuotient = 0.0625
353: Tree: age = 43163, name = hagavqqtgnMWApP, GetQuotient = 0.13333333333333333
354: Flower: name = cZuDzxyUODgPiSBgn, Type = Type.GARDEN, GetQuotient = 0.11764705882352941
355: Flower: name = hVZ, Type = Type.HOUSE, GetQuotient = 0.0
356: Flower: name = jkXKqa, Type = Type.WILD, GetQuotient = 0.16666666666666666
357: Flower: name = G, Type = Type.GARDEN, GetQuotient = 0.0
358: Tree: age = 70447, name = dbsTilLqabLlGh, GetQuotient = 0.14285714285714285
359: Tree: age = 84186, name = kMTVJrFR, GetQuotient = 0.0
360: Bush: month = Month.DECEMBER, name = nLVogeCcrGuxmWoRN, GetQuotient = 0.23529411764705882
361: Flower: name = LnzPYRheYxdSGybPy, Type = Type.WILD, GetQuotient = 0.058823529411764705
362: Bush: month = Month.OCTOBER, name = PepVbAEOrwoBBmTV, GetQuotient = 0.125
363: Bush: month = Month.JULY, name = OTCdgjhcQrEirqcFl, GetQuotient = 0.058823529411764705
364: Bush: month = Month.NOVEMBER, name = fZvlq, GetQuotient = 0.0
365: Tree: age = 78354, name = c, GetQuotient = 0.0
366: Tree: age = 81844, name = JvyGVaNDoY, GetQuotient = 0.2
367: Tree: age = 18041, name = CHPAlkIHmpKXTmg, GetQuotient = 0.0
368: Flower: name = SpPbf, Type = Type.WILD, GetQuotient = 0.0
369: Bush: month = Month.AUGUST, name = cmYvPloqwmViFYvZQ, GetQuotient = 0.11764705882352941
370: Flower: name = UDBSySjdHfCctVnubW, Type = Type.GARDEN, GetQuotient = 0.05555555555555555
371: Flower: name = CtJZaotKypiVY, Type = Type.WILD, GetQuotient = 0.23076923076923078
372: Flower: name = cgQbNSdTQTHRczDLe, Type = Type.GARDEN, GetQuotient = 0.058823529411764705
373: Flower: name = i, Type = Type.WILD, GetQuotient = 1.0
374: Tree: age = 33110, name = zuujKGePVAei, GetQuotient = 0.4166666666666667
375: Flower: name = oQpPPOVT, Type = Type.WILD, GetQuotient = 0.125
376: Bush: month = Month.OCTOBER, name = ZtPLTu, GetQuotient = 0.16666666666666666
377: Bush: month = Month.JULY, name = JfwxT, GetQuotient = 0.0
378: Bush: month = Month.SEPTEMBER, name = RbLoLd, GetQuotient = 0.16666666666666666
379: Flower: name = iTsMnAwxJBGXqnfQY, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
380: Flower: name = TqHuhe, Type = Type.WILD, GetQuotient = 0.3333333333333333
381: Bush: month = Month.FEBRUARY, name = MQdEvbZfJIEZEExNSIU, GetQuotient = 0.0
382: Bush: month = Month.JULY, name = AQjiOzLDasrKCT, GetQuotient = 0.14285714285714285
383: Flower: name = zZ, Type = Type.HOUSE, GetQuotient = 0.0
384: Tree: age = 36075, name = UfMiCicS, GetQuotient = 0.25
385: Bush: month = Month.MAY, name = jkLhJ, GetQuotient = 0.0
386: Bush: month = Month.MAY, name = vrUBZclltITcLn, GetQuotient = 0.0
387: Tree: age = 91406, name = iqXDxv, GetQuotient = 0.16666666666666666
388: Tree: age = 81232, name = IxiJaynDnElQdgTLAoej, GetQuotient = 0.2
389: Flower: name = ZGBsHTklRfOeTsvId, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
390: Bush: month = Month.APRIL, name = wKmGslUeJYjHr, GetQuotient = 0.07692307692307693
391: Tree: age = 52926, name = wTZRFDcVUFAvktRd, GetQuotient = 0.0
392: Tree: age = 79019, name = DWCHxDM, GetQuotient = 0.0
393: Tree: age = 47315, name = wuLVBlpfOkU, GetQuotient = 0.09090909090909091
394: Tree: age = 46343, name = CneXdT, GetQuotient = 0.16666666666666666
395: Tree: age = 36448, name = KkLHpRVfASyiozRSd, GetQuotient = 0.11764705882352941
396: Tree: age = 65694, name = dmKgkdPQWuasTcU, GetQuotient = 0.13333333333333333
397: Bush: month = Month.MARCH, name = xkLqJIiZERrqUkyUfl, GetQuotient = 0.05555555555555555
398: Bush: month = Month.FEBRUARY, name = QyPcvUmAIYaHaODWeVtv, GetQuotient = 0.15
399: Tree: age = 43350, name = TpBnKdlSyeoMib, GetQuotient = 0.21428571428571427
400: Flower: name = nn, Type = Type.WILD, GetQuotient = 0.0
401: Tree: age = 25396, name = WOIbIacasiRD, GetQuotient = 0.25
402: Bush: month = Month.JANUARY, name = NBVAYuqVxcSJKrU, GetQuotient = 0.06666666666666667
403: Bush: month = Month.AUGUST, name = GUVhvpSvjjRB, GetQuotient = 0.0
404: Bush: month = Month.OCTOBER, name = k, GetQuotient = 0.0
405: Bush: month = Month.NOVEMBER, name = MEIZMzHZRyrbfJy, GetQuotient = 0.0
406: Flower: name = s, Type = Type.WILD, GetQuotient = 0.0
407: Flower: name = uk, Type = Type.GARDEN, GetQuotient = 0.5
408: Tree: age = 53489, name = QTrfCPqrwQnaQbR, GetQuotient = 0.06666666666666667
409: Tree: age = 73015, name = JyPSKJjTWFTF, GetQuotient = 0.0
410: Bush: month = Month.JULY, name = x, GetQuotient = 0.0
411: Flower: name = rVbaPJZRsIrTJ, Type = Type.HOUSE, GetQuotient = 0.07692307692307693
412: Bush: month = Month.DECEMBER, name = hVxryXKEIX, GetQuotient = 0.0
413: Tree: age = 83617, name = qzcJJkUkMZJeSJAeENl, GetQuotient = 0.10526315789473684
414: Bush: month = Month.AUGUST, name = FDu, GetQuotient = 0.3333333333333333
415: Bush: month = Month.JANUARY, name = DYVZWFDLglXRqPeHpgR, GetQuotient = 0.05263157894736842
416: Tree: age = 66911, name = hAIjNrZ, GetQuotient = 0.0
417: Tree: age = 56997, name = elI, GetQuotient = 0.3333333333333333
418: Tree: age = 67094, name = VeOXFMJDDVG, GetQuotient = 0.09090909090909091
419: Bush: month = Month.JANUARY, name = kjJyeTGSYP, GetQuotient = 0.1
420: Tree: age = 91919, name = CjflZKEEFHNlazDAN, GetQuotient = 0.058823529411764705
421: Flower: name = OKB, Type = Type.GARDEN, GetQuotient = 0.0
422: Tree: age = 87332, name = zpl, GetQuotient = 0.0
423: Bush: month = Month.SEPTEMBER, name = mhKnGgLIdmJQKEbyQ, GetQuotient = 0.0
424: Tree: age = 5228, name = lodKBVgNBVJZzXB, GetQuotient = 0.06666666666666667
425: Tree: age = 87960, name = iypwsgpaw, GetQuotient = 0.2222222222222222
426: Bush: month = Month.DECEMBER, name = unBYVGI, GetQuotient = 0.14285714285714285
427: Bush: month = Month.SEPTEMBER, name = BhiOtbngKTkmfFqG, GetQuotient = 0.0625
428: Tree: age = 69076, name = oJjWUfPEprtfAFOSR, GetQuotient = 0.058823529411764705
429: Tree: age = 73577, name = GAiyjwIFhTle, GetQuotient = 0.16666666666666666
430: Flower: name = vxfB, Type = Type.WILD, GetQuotient = 0.0
431: Bush: month = Month.AUGUST, name = llVTzqScfXYqsnX, GetQuotient = 0.0
432: Flower: name = OtykzyZj, Type = Type.HOUSE, GetQuotient = 0.0
433: Flower: name = UonmGjdxYFFhEMTZlxA, Type = Type.HOUSE, GetQuotient = 0.05263157894736842
434: Tree: age = 53878, name = ZjClLwB, GetQuotient = 0.0
435: Bush: month = Month.NOVEMBER, name = aobvQsOjQbqbpItIx, GetQuotient = 0.11764705882352941
436: Flower: name = sUejrFnygmHb, Type = Type.HOUSE, GetQuotient = 0.08333333333333333
437: Tree: age = 37978, name = BrTPMgwP, GetQuotient = 0.0
438: Bush: month = Month.MAY, name = PvWFQcEpbBTMi, GetQuotient = 0.07692307692307693
439: Tree: age = 83855, name = diM, GetQuotient = 0.3333333333333333
440: Flower: name = EBwoEDVo, Type = Type.HOUSE, GetQuotient = 0.25
441: Tree: age = 35958, name = aZMwDXQDtIADMtfpIM, GetQuotient = 0.05555555555555555
442: Bush: month = Month.JULY, name = vpaZohJtCuoIxkDAT, GetQuotient = 0.23529411764705882
443: Tree: age = 35323, name = L, GetQuotient = 0.0
444: Tree: age = 95485, name = IQgSz, GetQuotient = 0.0
445: Bush: month = Month.MARCH, name = LXaoaZ, GetQuotient = 0.5
446: Flower: name = xcWyXVlLfL, Type = Type.WILD, GetQuotient = 0.0
447: Bush: month = Month.NOVEMBER, name = my, GetQuotient = 0.0
448: Flower: name = KoLmlxrEQj, Type = Type.WILD, GetQuotient = 0.1
449: Tree: age = 97845, name = HthwXFiYHCHbVrfZmQnF, GetQuotient = 0.05
450: Bush: month = Month.DECEMBER, name = iihOjvTtOJN, GetQuotient = 0.18181818181818182
451: Tree: age = 36854, name = FbmxuUdPO, GetQuotient = 0.1111111111111111
452: Bush: month = Month.NOVEMBER, name = FxpzcyqvsfAZ, GetQuotient = 0.0
453: Flower: name = T, Type = Type.HOUSE, GetQuotient = 0.0
454: Flower: name = kOBCdmeS, Type = Type.GARDEN, GetQuotient = 0.125
455: Tree: age = 19763, name = wiyRSHPfdFAKrxSZrJf, GetQuotient = 0.05263157894736842
456: Tree: age = 39518, name = tENSsVb, GetQuotient = 0.0
457: Flower: name = MhPxccWAbMNk, Type = Type.WILD, GetQuotient = 0.0
458: Tree: age = 91121, name = LUpbp, GetQuotient = 0.0
459: Bush: month = Month.SEPTEMBER, name = WqQOc, GetQuotient = 0.0
460: Flower: name = SGxWXQx, Type = Type.HOUSE, GetQuotient = 0.0
461: Flower: name = CGYwuJSfmgrrCkwT, Type = Type.WILD, GetQuotient = 0.0625
462: Flower: name = znelJzrTTsKqjLOW, Type = Type.HOUSE, GetQuotient = 0.0625
463: Tree: age = 10331, name = iBYyXwqpxroCTFoOaEs, GetQuotient = 0.21052631578947367
464: Flower: name = wjoLEEvxVWLzuydi, Type = Type.WILD, GetQuotient = 0.1875
465: Bush: month = Month.FEBRUARY, name = P, GetQuotient = 0.0
466: Flower: name = iMVBdGFhulpbtNs, Type = Type.WILD, GetQuotient = 0.13333333333333333
467: Tree: age = 93173, name = yy, GetQuotient = 0.0
468: Tree: age = 46731, name = kOjmCZqnvrekPo, GetQuotient = 0.14285714285714285
469: Flower: name = ikF, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
470: Flower: name = txjFCLvoB, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
471: Tree: age = 32120, name = MYAXmOichbS, GetQuotient = 0.09090909090909091
472: Tree: age = 72983, name = eztJNcnPOwH, GetQuotient = 0.09090909090909091
473: Bush: month = Month.MAY, name = IQdsKnDUHYGVNgN, GetQuotient = 0.0
474: Tree: age = 1797, name = XDvHMWywFkS, GetQuotient = 0.0
475: Bush: month = Month.SEPTEMBER, name = sVO, GetQuotient = 0.0
476: Tree: age = 16363, name = bKrbKgffsdMV, GetQuotient = 0.0
477: Flower: name = HGfRfHMb, Type = Type.GARDEN, GetQuotient = 0.0
478: Bush: month = Month.DECEMBER, name = wqiXTkIZ, GetQuotient = 0.125
479: Flower: name = OTiiEEtPxYfQnsaCZoqu, Type = Type.GARDEN, GetQuotient = 0.25
480: Bush: month = Month.JANUARY, name = I, GetQuotient = 0.0
481: Flower: name = UAumjRLLyBzIh, Type = Type.HOUSE, GetQuotient = 0.07692307692307693
482: Bush: month = Month.JANUARY, name = OiGFUhwAQQIMoiGW, GetQuotient = 0.1875
483: Tree: age = 25069, name = bJCDDxukgxCebYpKouB, GetQuotient = 0.21052631578947367
484: Flower: name = nOzYedIiytsnYm, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
485: Bush: month = Month.FEBRUARY, name = rZBcFq, GetQuotient = 0.0
486: Tree: age = 73556, name = xBFwPBphXmdE, GetQuotient = 0.0
487: Tree: age = 34522, name = aaoUgkxslNdNMEJDHv, GetQuotient = 0.16666666666666666
488: Bush: month = Month.AUGUST, name = CeJKMhFGJOWhSrwhsF, GetQuotient = 0.05555555555555555
489: Flower: name = ya, Type = Type.WILD, GetQuotient = 0.5
490: Tree: age = 61850, name = DufrlA, GetQuotient = 0.16666666666666666
491: Bush: month = Month.OCTOBER, name = rmeADq, GetQuotient = 0.16666666666666666
492: Bush: month = Month.FEBRUARY, name = opeepBdeVMaXCcxXh, GetQuotient = 0.29411764705882354
493: Bush: month = Month.AUGUST, name = EjvmQNDAoETzAUl, GetQuotient = 0.06666666666666667
494: Tree: age = 60761, name = xWunehcKtlwkQJZdifxE, GetQuotient = 0.15
495: Tree: age = 36368, name = lZlUNTk, GetQuotient = 0.0
496: Flower: name = AbvtPyWNMdNbH, Type = Type.WILD, GetQuotient = 0.0
497: Bush: month = Month.MAY, name = DTATzvEoJTVaUTqmgZ, GetQuotient = 0.1111111111111111
498: Bush: month = Month.FEBRUARY, name = BBXJSMeSNclyklkcjvk, GetQuotient = 0.05263157894736842
499: Bush: month = Month.OCTOBER, name = nlfPW, GetQuotient = 0.0
500: Tree: age = 68121, name = XznpXDJdT, GetQuotient = 0.0
501: Tree: age = 41307, name = HmcqpovnBXaBF, GetQuotient = 0.15384615384615385
502: Tree: age = 99631, name = PdJCf, GetQuotient = 0.0
503: Bush: month = Month.DECEMBER, name = dnmPMZinmhqZ, GetQuotient = 0.08333333333333333
504: Tree: age = 78469, name = EPzqAShucXFGNBHg, GetQuotient = 0.0625
505: Flower: name = YpdBaTlCYDQ, Type = Type.HOUSE, GetQuotient = 0.09090909090909091
506: Bush: month = Month.JANUARY, name = PFe, GetQuotient = 0.3333333333333333
507: Flower: name = AsXlIbMMgIQBNvlOSgfA, Type = Type.WILD, GetQuotient = 0.0
508: Flower: name = mkgVsLl, Type = Type.GARDEN, GetQuotient = 0.0
509: Bush: month = Month.DECEMBER, name = fHQP, GetQuotient = 0.0
510: Flower: name = qLDNgTQJPkcZsRMx, Type = Type.HOUSE, GetQuotient = 0.0
511: Flower: name = VXImjRLZRMJlPmbe, Type = Type.GARDEN, GetQuotient = 0.0625
512: Tree: age = 47710, name = uejbtep, GetQuotient = 0.42857142857142855
513: Flower: name = PPVQGsmpyWk, Type = Type.GARDEN, GetQuotient = 0.0
514: Flower: name = SxrbPJtCeAJZejexeDN, Type = Type.GARDEN, GetQuotient = 0.21052631578947367
515: Tree: age = 51560, name = iGshtsB, GetQuotient = 0.14285714285714285
516: Flower: name = dB, Type = Type.WILD, GetQuotient = 0.0
517: Flower: name = PtrldfJQ, Type = Type.HOUSE, GetQuotient = 0.0
518: Bush: month = Month.SEPTEMBER, name = PT, GetQuotient = 0.0
519: Tree: age = 95063, name = wJd, GetQuotient = 0.0
520: Flower: name = LEtaPyvUPWoQMN, Type = Type.GARDEN, GetQuotient = 0.14285714285714285
521: Tree: age = 88682, name = WB, GetQuotient = 0.0
522: Bush: month = Month.OCTOBER, name = hPJNCMAXsaBexKHYgo, GetQuotient = 0.16666666666666666
523: Tree: age = 69160, name = WNnCVTorUcHbAjn, GetQuotient = 0.06666666666666667
524: Flower: name = EhVvTWWejNBoGg, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
525: Bush: month = Month.FEBRUARY, name = vVF, GetQuotient = 0.0
526: Tree: age = 25857, name = PvNCxFwtlreklT, GetQuotient = 0.07142857142857142
527: Tree: age = 61191, name = zjsGohz, GetQuotient = 0.14285714285714285
528: Flower: name = xEGyMCyo, Type = Type.GARDEN, GetQuotient = 0.125
529: Tree: age = 78626, name = wXHqziBuwvsSXbFKS, GetQuotient = 0.11764705882352941
530: Tree: age = 78921, name = gucJPbkVMinWuv, GetQuotient = 0.21428571428571427
531: Tree: age = 34748, name = thCORBxvtEDo, GetQuotient = 0.08333333333333333
532: Bush: month = Month.AUGUST, name = GhhqUlmvun, GetQuotient = 0.1
533: Flower: name = I, Type = Type.GARDEN, GetQuotient = 0.0
534: Flower: name = IeSX, Type = Type.HOUSE, GetQuotient = 0.25
535: Flower: name = MaFwQtasDgzIqQwGhsz, Type = Type.HOUSE, GetQuotient = 0.10526315789473684
536: Flower: name = iGEcX, Type = Type.HOUSE, GetQuotient = 0.2
537: Flower: name = JDcWZLliomHCK, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
538: Tree: age = 98806, name = WSWmxMSbzLLONnSuV, GetQuotient = 0.058823529411764705
539: Tree: age = 95250, name = fNPyojtc, GetQuotient = 0.125
540: Flower: name = Enqp, Type = Type.GARDEN, GetQuotient = 0.0
541: Flower: name = TQaskCC, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
542: Bush: month = Month.NOVEMBER, name = bGneupn, GetQuotient = 0.2857142857142857
543: Tree: age = 45164, name = jwmLzITefZbXb, GetQuotient = 0.07692307692307693
544: Flower: name = ikLeyWREydERehXeFKH, Type = Type.WILD, GetQuotient = 0.21052631578947367
545: Bush: month = Month.MAY, name = MwrJMToltdLHgj, GetQuotient = 0.07142857142857142
546: Flower: name = bghpcRrApIXi, Type = Type.WILD, GetQuotient = 0.08333333333333333
547: Tree: age = 39253, name = fulmbZgK, GetQuotient = 0.125
548: Flower: name = JLnvdzIHj, Type = Type.HOUSE, GetQuotient = 0.0
549: Flower: name = TcxqyUCJanilavG, Type = Type.WILD, GetQuotient = 0.2
550: Bush: month = Month.NOVEMBER, name = wyh, GetQuotient = 0.0
551: Tree: age = 76504, name = ZJowYOX, GetQuotient = 0.14285714285714285
552: Bush: month = Month.MAY, name = oqtCnO, GetQuotient = 0.16666666666666666
553: Flower: name = ezPOosAaxLZyDYL, Type = Type.GARDEN, GetQuotient = 0.2
554: Bush: month = Month.JULY, name = Hhp, GetQuotient = 0.0
555: Tree: age = 84669, name = H, GetQuotient = 0.0
556: Bush: month = Month.JUNE, name = pgUyMXSGuWWbNWW, GetQuotient = 0.06666666666666667
557: Tree: age = 19004, name = vKPqWLuGegAj, GetQuotient = 0.16666666666666666
558: Tree: age = 58369, name = OgzoIfUU, GetQuotient = 0.125
559: Bush: month = Month.APRIL, name = fofRlGxYzCBrkQonqzc, GetQuotient = 0.10526315789473684
560: Flower: name = XxhxgysfD, Type = Type.WILD, GetQuotient = 0.0
561: Flower: name = MqRv, Type = Type.HOUSE, GetQuotient = 0.0
562: Flower: name = wLknIceWkPEub, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
563: Flower: name = VClZJe, Type = Type.WILD, GetQuotient = 0.16666666666666666
564: Flower: name = zgGlIrViNewPxD, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
565: Flower: name = rODIteNC, Type = Type.GARDEN, GetQuotient = 0.125
566: Bush: month = Month.SEPTEMBER, name = RacxPsKRaTrpQXyOSBZ, GetQuotient = 0.10526315789473684
567: Bush: month = Month.FEBRUARY, name = bFyDIwgWgVffXTAVZ, GetQuotient = 0.0
568: Tree: age = 6897, name = jYZxkdoqzUViRwLmgx, GetQuotient = 0.1111111111111111
569: Bush: month = Month.JUNE, name = Okuuw, GetQuotient = 0.4
570: Flower: name = QPzwL, Type = Type.HOUSE, GetQuotient = 0.0
571: Flower: name = skXvRgsEvK, Type = Type.WILD, GetQuotient = 0.0
572: Bush: month = Month.JANUARY, name = xWiakxELd, GetQuotient = 0.2222222222222222
573: Tree: age = 5579, name = KnNgevcHvrJkN, GetQuotient = 0.07692307692307693
574: Flower: name = HPzncnfppfhbw, Type = Type.GARDEN, GetQuotient = 0.0
575: Bush: month = Month.JANUARY, name = ZtzhcgFyMT, GetQuotient = 0.0
576: Flower: name = gM, Type = Type.GARDEN, GetQuotient = 0.0
577: Flower: name = UDps, Type = Type.WILD, GetQuotient = 0.0
578: Tree: age = 89156, name = sLptmAdEMUSv, GetQuotient = 0.0
579: Flower: name = UzmqAxft, Type = Type.WILD, GetQuotient = 0.0
580: Bush: month = Month.FEBRUARY, name = mDbVwiE, GetQuotient = 0.14285714285714285
581: Tree: age = 93061, name = Oss, GetQuotient = 0.0
582: Bush: month = Month.APRIL, name = ZfbiBQN, GetQuotient = 0.14285714285714285
583: Flower: name = SALXEpXacPDmYfFFR, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
584: Tree: age = 23354, name = muFOIwBhuHKP, GetQuotient = 0.16666666666666666
585: Tree: age = 1942, name = aCktJemJxBqh, GetQuotient = 0.16666666666666666
586: Flower: name = YfkIvncmG, Type = Type.GARDEN, GetQuotient = 0.0
587: Flower: name = cSsCeor, Type = Type.GARDEN, GetQuotient = 0.2857142857142857
588: Bush: month = Month.NOVEMBER, name = qMmkDFtqmZebg, GetQuotient = 0.07692307692307693
589: Tree: age = 996, name = Pao, GetQuotient = 0.6666666666666666
590: Bush: month = Month.JULY, name = YIuj, GetQuotient = 0.25
591: Tree: age = 90051, name = jahvShHRqglMptYWqzI, GetQuotient = 0.05263157894736842
592: Tree: age = 25180, name = LPkMdtTAjcbTqjY, GetQuotient = 0.0
593: Bush: month = Month.OCTOBER, name = apZcb, GetQuotient = 0.2
594: Tree: age = 55477, name = wBgF, GetQuotient = 0.0
595: Tree: age = 45281, name = XFOCKRBSyhGThfIloSL, GetQuotient = 0.05263157894736842
596: Tree: age = 35908, name = QszMwovyw, GetQuotient = 0.1111111111111111
597: Bush: month = Month.FEBRUARY, name = kNDCGQB, GetQuotient = 0.0
598: Bush: month = Month.MAY, name = CeSDWLI, GetQuotient = 0.14285714285714285
599: Flower: name = WKzDt, Type = Type.GARDEN, GetQuotient = 0.0
600: Bush: month = Month.NOVEMBER, name = saApENzqhEdvjPOkty, GetQuotient = 0.05555555555555555
601: Bush: month = Month.JULY, name = oeO, GetQuotient = 0.6666666666666666
602: Flower: name = OTGJCPjriHmjMsLVAGF, Type = Type.WILD, GetQuotient = 0.05263157894736842
603: Tree: age = 5273, name = hKdtYa, GetQuotient = 0.16666666666666666
604: Bush: month = Month.JANUARY, name = E, GetQuotient = 0.0
605: Flower: name = qeaftIYWB, Type = Type.WILD, GetQuotient = 0.2222222222222222
606: Tree: age = 97510, name = fRCTzRxXMZBGqdtHQINj, GetQuotient = 0.0
607: Bush: month = Month.MARCH, name = lnQBgtO, GetQuotient = 0.0
608: Bush: month = Month.AUGUST, name = xCcBoHoCOLenZNJGWdf, GetQuotient = 0.15789473684210525
609: Tree: age = 34638, name = rpKeCkWWdcoV, GetQuotient = 0.16666666666666666
610: Tree: age = 74531, name = EI, GetQuotient = 0.0
611: Tree: age = 5994, name = TVXMDZcRqTmX, GetQuotient = 0.0
612: Bush: month = Month.APRIL, name = Rk, GetQuotient = 0.0
613: Bush: month = Month.JANUARY, name = LfQuICpsJhNit, GetQuotient = 0.15384615384615385
614: Tree: age = 74468, name = oWkZWvMioOHcamsV, GetQuotient = 0.25
615: Flower: name = rWKaHt, Type = Type.WILD, GetQuotient = 0.16666666666666666
616: Bush: month = Month.OCTOBER, name = tVJ, GetQuotient = 0.0
617: Flower: name = VyqetyiRAAYGdb, Type = Type.HOUSE, GetQuotient = 0.14285714285714285
618: Bush: month = Month.APRIL, name = yCCK, GetQuotient = 0.0
619: Bush: month = Month.FEBRUARY, name = zdTAzTrKTzoj, GetQuotient = 0.08333333333333333
620: Bush: month = Month.MAY, name = VEfUAGCbLMzh, GetQuotient = 0.0
621: Bush: month = Month.JULY, name = ImEATXFIYzvyNnd, GetQuotient = 0.0
622: Flower: name = EbPrNXpmtvP, Type = Type.GARDEN, GetQuotient = 0.0
623: Tree: age = 29292, name = HuWgdrqEEAamlHwOZng, GetQuotient = 0.10526315789473684
624: Bush: month = Month.OCTOBER, name = hJobSHQeWTlZr, GetQuotient = 0.15384615384615385
625: Flower: name = OjGAUYWQBowXzVMxGDus, Type = Type.HOUSE, GetQuotient = 0.1
626: Flower: name = pFq, Type = Type.GARDEN, GetQuotient = 0.0
627: Bush: month = Month.MAY, name = eXUeZXBwu, GetQuotient = 0.3333333333333333
628: Bush: month = Month.MARCH, name = IFopklVKNKOa, GetQuotient = 0.16666666666666666
629: Flower: name = ZUxtPqyJczBQrw, Type = Type.GARDEN, GetQuotient = 0.0
630: Bush: month = Month.SEPTEMBER, name = qVgMiWqYewvjd, GetQuotient = 0.15384615384615385
631: Bush: month = Month.JULY, name = uiNMEsTuehpu, GetQuotient = 0.4166666666666667
632: Bush: month = Month.AUGUST, name = vjcoqfoEcP, GetQuotient = 0.2
633: Flower: name = HHPbEgcliIdPYFNu, Type = Type.GARDEN, GetQuotient = 0.125
634: Flower: name = rytfuJKLNUdvpckG, Type = Type.HOUSE, GetQuotient = 0.0625
635: Flower: name = KcMctfrSA, Type = Type.HOUSE, GetQuotient = 0.0
636: Bush: month = Month.MARCH, name = iBQxFhWdQawW, GetQuotient = 0.16666666666666666
637: Flower: name = MBQXfkRaGa, Type = Type.GARDEN, GetQuotient = 0.2
638: Tree: age = 80307, name = drKglUG, GetQuotient = 0.0
639: Flower: name = druafjpPnvuDkqRyqcZ, Type = Type.WILD, GetQuotient = 0.15789473684210525
640: Tree: age = 14532, name = SSc, GetQuotient = 0.0
641: Flower: name = vhXb, Type = Type.WILD, GetQuotient = 0.0
642: Flower: name = YtQKjonyykTkffguo, Type = Type.WILD, GetQuotient = 0.17647058823529413
643: Tree: age = 55109, name = kFDBjlPp, GetQuotient = 0.0
644: Flower: name = XlNa, Type = Type.HOUSE, GetQuotient = 0.25
645: Tree: age = 29978, name = dyBBKcRqclfb, GetQuotient = 0.0
646: Tree: age = 3432, name = NNQgaD, GetQuotient = 0.16666666666666666
647: Flower: name = jGcWEcSOgbeDTJF, Type = Type.WILD, GetQuotient = 0.06666666666666667
648: Flower: name = yMIYJsDfO, Type = Type.GARDEN, GetQuotient = 0.0
649: Flower: name = yFWXwiLI, Type = Type.HOUSE, GetQuotient = 0.125
650: Flower: name = OGYEIkWU, Type = Type.HOUSE, GetQuotient = 0.0
651: Tree: age = 86518, name = hNrayb, GetQuotient = 0.16666666666666666
