Container is store 10000 plants:
0: Tree: age = 74581, name = XwFnuYs, GetQuotient = 0.14285714285714285
2742: Tree: age = 17798, name = ONdjZIzGc, GetQuotient = 0.0
2743: Flower: name = TTY, Type = Type.HOUSE, GetQuotient = 0.0
2744: Bush: month = Month.JANUARY, name = rwGbCTJAOcTOzaD, GetQuotient = 0.06666666666666667
2745: Bush: month = Month.AUGUST, name = BkCWU, GetQuotient = 0.0
2746: Bush: month = Month.JULY, name = owBqDO, GetQuotient = 0.16666666666666666
2747: Tree: age = 15417, name = ObOZOgdsadJF, GetQuotient = 0.08333333333333333
2748: Bush: month = Month.NOVEMBER, name = mLSbXWbfyMoB, GetQuotient = 0.08333333333333333
2749: Flower: name = r, Type = Type.WILD, GetQuotient = 0.0
2750: Flower: name = NgKPshjhTrkLuv, Type = Type.HOUSE, GetQuotient = 0.07142857142857142
2751: Flower: name = DTwy, Type = Type.HOUSE, GetQuotient = 0.0
2752: Tree: age = 17016, name = zwflLQD, GetQuotient = 0.0
2753: Flower: name = AgnOXxJ, Type = Type.WILD, GetQuotient = 0.0
2754: Flower: name = hSNTSFoHAM, Type = Type.HOUSE, GetQuotient = 0.1
2755: Tree: age = 15554, name = SWWgyMSmyHhTuBtEvi, GetQuotient = 0.1111111111111111
2756: Bush: month = Month.MARCH, name = GJRnVxSKvCiFiDHOYy, GetQuotient = 0.1111111111111111
2757: Tree: age = 4877, name = JT, GetQuotient = 0.0
2758: Tree: age = 82407, name = SVc, GetQuotient = 0.0
2759: Bush: month = Month.OCTOBER, name = izXUsqWLbUqTQmaAM, GetQuotient = 0.11764705882352941
2760: Tree: age = 7012, name = fAtcZzXlLeaOf, GetQuotient = 0.15384615384615385
2761: Flower: name = L, Type = Type.GARDEN, GetQuotient = 0.0
2762: Flower: name = FnUCYBWIYDpYa, Type = Type.WILD, GetQuotient = 0.07692307692307693
2763: Tree: age = 74781, name = FYOuzJ, GetQuotient = 0.16666666666666666
2764: Tree: age = 1725, name = HpaadGpXYg, GetQuotient = 0.2
2765: Tree: age = 94075, name = JwHAfqWwr, GetQuotient = 0.0
2766: Flower: name = KqLcCMUDvnnQlwH, Type = Type.WILD, GetQuotient = 0.0
2767: Tree: age = 32588, name = PWG, GetQuotient = 0.0
2768: Tree: age = 33825, name = sabDOEWzVyhwuYroSwL, GetQuotient = 0.15789473684210525
2769: Flower: name = sApBxDpsK, Type = Type.WILD, GetQuotient = 0.0
2770: Bush: month = Month.MAY, name = XErRFwspUOVepv, GetQuotient = 0.07142857142857142
2771: Flower: name = tjdNVHWuSUUbovxSgy, Type = Type.HOUSE, GetQuotient = 0.1111111111111111
2772: Flower: name = iYOjmLBa, Type = Type.WILD, GetQuotient = 0.25
2773: Tree: age = 36641, name = nzEnWgFgINDpOjyUKQ, GetQuotient = 0.0
2774: Bush: month = Month.MAY, name = kyekFAfozrMjBKQB, GetQuotient = 0.125
2775: Tree: age = 21623, name = hWMF, GetQuotient = 0.0
2776: Bush: month = Month.JULY, name = VXABNwvkNiWlIfCsQ, GetQuotient = 0.058823529411764705
2777: Tree: age = 19854, name = bwnVeLBNK, GetQuotient = 0.1111111111111111
2778: Flower: name = LzPMKHWAHWRZddpmTFG, Type = Type.WILD, GetQuotient = 0.0
2779: Tree: age = 54180, name = wMuXolIRel, GetQuotient = 0.3
2780: Flower: name = wuznZEiBLpINylLgbj, Type = Type.HOUSE, GetQuotient = 0.1111111111111111
2781: Tree: age = 48970, name = bBIjvhcRN, GetQuotient = 0.0
2782: Flower: name = pPXJLvwN, Type = Type.HOUSE, GetQuotient = 0.0
2783: Bush: month = Month.OCTOBER, name = uApcseLrW, GetQuotient = 0.2222222222222222
2784: Flower: name = ulckBAUXwBXQOe, Type = Type.WILD, GetQuotient = 0.14285714285714285
2785: Bush: month = Month.SEPTEMBER, name = cKhYYPYqfMCQ, GetQuotient = 0.0
2786: Tree: age = 45026, name = JUz, GetQuotient = 0.0
2787: Bush: month = Month.OCTOBER, name = MXPeqjwRDhEFTQbPVpO, GetQuotient = 0.05263157894736842
2788: Bush: month = Month.APRIL, name = VsSvIpBRZnDdM, GetQuotient = 0.0
2789: Bush: month = Month.APRIL, name = r, GetQuotient = 0.0
2790: Tree: age = 44370, name = KfYddknqQ, GetQuotient = 0.0
2791: Flower: name = rgqwucputOdxBgblgo, Type = Type.GARDEN, GetQuotient = 0.16666666666666666
2792: Bush: month = Month.DECEMBER, name = NfMbiUMkKvJ, GetQuotient = 0.09090909090909091
2793: Tree: age = 85987, name = lw, GetQuotient = 0.0
2794: Flower: name = xOMluZgbQvRyTd, Type = Type.GARDEN, GetQuotient = 0.07142857142857142
2795: Bush: month = Month.JULY, name = IUV, GetQuotient = 0.0
2796: Bush: month = Month.JUNE, name = QWUYObXggIhnRawVjsPP, GetQuotient = 0.05
2797: Bush: month = Month.JUNE, name = yWjPLySVnpCmW, GetQuotient = 0.0
2798: Flower: name = XGl, Type = Type.WILD, GetQuotient = 0.0
2799: Bush: month = Month.APRIL, name = MSRpx, GetQuotient = 0.0
2800: Bush: month = Month.MAY, name = FGktcuQCXjkCOwMjrLBW, GetQuotient = 0.05
2801: Tree: age = 75903, name = KEYjZsRKRPANq, GetQuotient = 0.0
2802: Flower: name = AUlmt, Type = Type.WILD, GetQuotient = 0.0
2803: Tree: age = 2260, name = ZoXsLprnYkGWt, GetQuotient = 0.07692307692307693
2804: Bush: month = Month.MARCH, name = VOJzkqwalrHigtM, GetQuotient = 0.13333333333333333
2805: Bush: month = Month.NOVEMBER, name = U, GetQuotient = 0.0
2806: Bush: month = Month.APRIL, name = HDTJJGqBwjA, GetQuotient = 0.0
2807: Flower: name = YITifv, Type = Type.WILD, GetQuotient = 0.16666666666666666
2808: Tree: age = 87828, name = nhcyziJ, GetQuotient = 0.14285714285714285
2809: Bush: month = Month.MAY, name = kIw, GetQuotient = 0.0
2810: Tree: age = 11759, name = J, GetQuotient = 0.0
2811: Tree: age = 34759, name = KXsVEBHVxTaLxRJo, GetQuotient = 0.125
2812: Bush: month = Month.JANUARY, name = ZuZCpJIRigyEdc, GetQuotient = 0.14285714285714285
2813: Flower: name = pExJHPDyf, Type = Type.HOUSE, GetQuotient = 0.0
2814: Tree: age = 71110, name = AMewfSm, GetQuotient = 0.14285714285714285
2815: Tree: age = 35713, name = VViAvpscGN, GetQuotient = 0.1
2816: Bush: month = Month.JULY, name = w, GetQuotient = 0.0
2817: Tree: age = 87591, name = uuMRefCKqzIPVCPOGmP, GetQuotient = 0.15789473684210525
2818: Tree: age = 23503, name = yU, GetQuotient = 0.0
2819: Tree: age = 40064, name = DFrIBCUbrSNq, GetQuotient = 0.0
2820: Bush: month = Month.MAY, name = pdIzGDYbgokfXinKAzt, GetQuotient = 0.10526315789473684
2821: Tree: age = 56790, name = EgMkMfdfXBoaXSWslDfU, GetQuotient = 0.1
2822: Flower: name = IIX, Type = Type.GARDEN, GetQuotient = 0.0
2823: Flower: name = txJOnwXwxsN, Type = Type.WILD, GetQuotient = 0.0
2824: Flower: name = zdyXkEwguvpmdMpc, Type = Type.GARDEN, GetQuotient = 0.0625
2825: Bush: month = Month.MAY, name = qXXN, GetQuotient = 0.0
2826: Tree: age = 64144, name = GqrjtIyj, GetQuotient = 0.0
2827: Tree: age = 48506, name = KnzBkTnMp, GetQuotient = 0.0
2828: Bush: month = Month.MAY, name = NdjsSueHMdOB, GetQuotient = 0.16666666666666666
2829: Bush: month = Month.MAY, name = cRzlyrnthnwUJWdCQOY, GetQuotient = 0.0
2830: Bush: month = Month.JULY, name = WJg, GetQuotient = 0.0
2831: Bush: month = Month.AUGUST, name = HzOQOWNWfywhGkpveulK, GetQuotient = 0.1
2832: Bush: month = Month.NOVEMBER, name = WSNSxKnKDxOrh, GetQuotient = 0.0
2833: Flower: name = ccV, Type = Type.GARDEN, GetQuotient = 0.0
2834: Flower: name = YkLvhVNeddIdKlfRhvb, Type = Type.HOUSE, GetQuotient = 0.05263157894736842
2835: Bush: month = Month.OCTOBER, name = CfzoWcsMmUxGCbHdJP, GetQuotient = 0.05555555555555555
2836: Flower: name = XW, Type = Type.HOUSE, GetQuotient = 0.0
2837: Bush: month = Month.MARCH, name = SOpKWqdHuRhnfXHlMuE, GetQuotient = 0.10526315789473684
2838: Tree: age = 35291, name = HIjZTC, GetQuotient = 0.0
2839: Tree: age = 32548, name = FCvm, GetQuotient = 0.0
2840: Tree: age = 8024, name = uYY, GetQuotient = 0.3333333333333333
2841: Flower: name = dHanKsVfr, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
2842: Bush: month = Month.APRIL, name = pYPKLWh, GetQuotient = 0.0
2843: Tree: age = 56573, name = ghYIIwwXYVCWVjTpS, GetQuotient = 0.0
2844: Bush: month = Month.APRIL, name = WNzmbELBKsnertrKMBZM, GetQuotient = 0.05
2845: Tree: age = 59244, name = oHMNnQFueJQ, GetQuotient = 0.2727272727272727
2846: Bush: month = Month.JULY, name = TDSrkHXOdKys, GetQuotient = 0.0
2847: Bush: month = Month.OCTOBER, name = JGdcJXxfKT, GetQuotient = 0.0
2848: Tree: age = 89073, name = QIkZeDCKQasSIsSzByj, GetQuotient = 0.10526315789473684
2849: Flower: name = abbUQBHCiAvRXGMhBTVb, Type = Type.HOUSE, GetQuotient = 0.1
2850: Bush: month = Month.AUGUST, name = plYWXIArMRoAuvqlH, GetQuotient = 0.11764705882352941
2851: Tree: age = 53622, name = rGtZVyswBIPgFT, GetQuotient = 0.0
2852: Bush: month = Month.JUNE, name = sDJgaRnYHgnS, GetQuotient = 0.08333333333333333
2853: Flower: name = fileVCRf, Type = Type.GARDEN, GetQuotient = 0.25
2854: Bush: month = Month.MARCH, name = XcijKbtuXOypbnRzqi, GetQuotient = 0.16666666666666666
2855: Bush: month = Month.JANUARY, name = bZxxVR, GetQuotient = 0.0
2856: Flower: name = eCsBcYBfRVZMwbFXgCS, Type = Type.HOUSE, GetQuotient = 0.05263157894736842
2857: Flower: name = OTJsscB, Type = Type.GARDEN, GetQuotient = 0.0
2858: Tree: age = 27882, name = aoiUTlfhGAAjuKXcNLwZ, GetQuotient = 0.2
2859: Flower: name = MbGads, Type = Type.WILD, GetQuotient = 0.16666666666666666
2860: Tree: age = 1360, name = bRWfFWXJePEuuSKQEOd, GetQuotient = 0.15789473684210525
2861: Bush: month = Month.AUGUST, name = E, GetQuotient = 0.0
2862: Bush: month = Month.MARCH, name = jiVGiUhmX, GetQuotient = 0.2222222222222222
2863: Flower: name = WIH, Type = Type.WILD, GetQuotient = 0.0
2864: Tree: age = 41536, name = NFSURiFXB, GetQuotient = 0.1111111111111111
2865: Tree: age = 819, name = brMEeYMgE, GetQuotient = 0.1111111111111111
2866: Flower: name = uagEDourzTqKRx, Type = Type.GARDEN, GetQuotient = 0.2857142857142857
2867: Bush: month = Month.NOVEMBER, name = TjZSrkalFnTrfQOmur, GetQuotient = 0.1111111111111111
2868: Tree: age = 69866, name = pWAdlAOYcCdFfCUaFd, GetQuotient = 0.05555555555555555
2869: Tree: age = 25128, name = QcvaIyue, GetQuotient = 0.375
2870: Flower: name = uOUdptkMyHwz, Type = Type.WILD, GetQuotient = 0.08333333333333333
2871: Bush: month = Month.NOVEMBER, name = o, GetQuotient = 1.0
2872: Tree: age = 60190, name = urxnPacwVW, GetQuotient = 0.2
2873: Flower: name = lARpny, Type = Type.WILD, GetQuotient = 0.0
2874: Flower: name = AQIhdRQxfMfe, Type = Type.WILD, GetQuotient = 0.08333333333333333
2875: Tree: age = 77073, name = BJTCbIFRUfifI, GetQuotient = 0.07692307692307693
2876: Flower: name = WwqfMZZiRn, Type = Type.WILD, GetQuotient = 0.1
2877: Bush: month = Month.MAY, name = fNvbvvfzVLeJAXvsyspG, GetQuotient = 0.05
2878: Tree: age = 19836, name = oOoJrXucrEajNhgIP, GetQuotient = 0.23529411764705882
2879: Bush: month = Month.SEPTEMBER, name = qKJ, GetQuotient = 0.0
2880: Tree: age = 86, name = rMAHIlkWaf, GetQuotient = 0.1
2881: Tree: age = 18965, name = FExwf, GetQuotient = 0.0
2882: Bush: month = Month.SEPTEMBER, name = PfYxlfeWBbjrJCvr, GetQuotient = 0.0625
2883: Bush: month = Month.AUGUST, name = vABgV, GetQuotient = 0.0
2884: Tree: age = 80985, name = LPWb, GetQuotient = 0.0
2885: Tree: age = 76493, name = PPgvyK, GetQuotient = 0.0
2886: Tree: age = 18266, name = wzttl, GetQuotient = 0.0
2887: Bush: month = Month.SEPTEMBER, name = Y, GetQuotient = 0.0
2888: Bush: month = Month.SEPTEMBER, name = blgsRovsvnXJW, GetQuotient = 0.07692307692307693
2889: Bush: month = Month.OCTOBER, name = oGdXBczML, GetQuotient = 0.1111111111111111
2890: Bush: month = Month.AUGUST, name = fJDEJnVbfV, GetQuotient = 0.0
2891: Flower: name = scWRXDUT, Type = Type.GARDEN, GetQuotient = 0.0
2892: Tree: age = 35089, name = jzF, GetQuotient = 0.0
2893: Tree: age = 1733, name = IqUNAMjPMI, GetQuotient = 0.0
2894: Bush: month = Month.NOVEMBER, name = bFSmTdyXmXj, GetQuotient = 0.0
2895: Tree: age = 34711, name = SMDyCSlmbWQv, GetQuotient = 0.0
2896: Tree: age = 22400, name = HTaVkOzsonu, GetQuotient = 0.2727272727272727
2897: Bush: month = Month.OCTOBER, name = GsSWHZWPm, GetQuotient = 0.0
2898: Bush: month = Month.AUGUST, name = CrWpWVHSPxZvwBlsK, GetQuotient = 0.0
2899: Flower: name = uxeHWQCpRQEhBH, Type = Type.WILD, GetQuotient = 0.14285714285714285
2900: Tree: age = 42584, name = GbGPCJYLbPP, GetQuotient = 0.0
2901: Tree: age = 6074, name = iYmoW, GetQuotient = 0.4
2902: Bush: month = Month.APRIL, name = mXlqqftjZmRvosy, GetQuotient = 0.06666666666666667
2903: Tree: age = 73674, name = ekBvjvutugcjiV, GetQuotient = 0.2857142857142857
2904: Bush: month = Month.JANUARY, name = P, GetQuotient = 0.0
2905: Bush: month = Month.JANUARY, name = ZLBeLHX, GetQuotient = 0.14285714285714285
2906: Bush: month = Month.APRIL, name = CnpISdBB, GetQuotient = 0.0
2907: Tree: age = 1413, name = T, GetQuotient = 0.0
2908: Bush: month = Month.MAY, name = KCxKCdozgxpKU, GetQuotient = 0.07692307692307693
2909: Bush: month = Month.SEPTEMBER, name = AnTACKL, GetQuotient = 0.0
2910: Bush: month = Month.JUNE, name = CjfMviuT, GetQuotient = 0.25
2911: Tree: age = 56118, name = QnGEdZbQEcxlLWrAbzfR, GetQuotient = 0.0
2912: Tree: age = 89072, name = ungfqMYtEkslSLN, GetQuotient = 0.06666666666666667
2913: Flower: name = ByQobuuNOpireaAiaWH, Type = Type.WILD, GetQuotient = 0.42105263157894735
2914: Tree: age = 17032, name = INlRedsEzVQfBpvoQ, GetQuotient = 0.11764705882352941
2915: Tree: age = 4552, name = WzjZwihFCkKmBOl, GetQuotient = 0.06666666666666667
2916: Bush: month = Month.OCTOBER, name = ZepauYPppHmJNRzH, GetQuotient = 0.1875
2917: Tree: age = 48730, name = WgCyksWr, GetQuotient = 0.0
2918: Tree: age = 6395, name = GpnIah, GetQuotient = 0.16666666666666666
2919: Flower: name = ICATA, Type = Type.WILD, GetQuotient = 0.0
2920: Bush: month = Month.JUNE, name = IpQJmDLMRbaz, GetQuotient = 0.08333333333333333
2921: Tree: age = 52896, name = uOfvvUvAird, GetQuotient = 0.18181818181818182
2922: Tree: age = 3777, name = j, GetQuotient = 0.0
2923: Tree: age = 41263, name = zoNozx, GetQuotient = 0.3333333333333333
2924: Bush: month = Month.MAY, name = Lxsn, GetQuotient = 0.0
2925: Flower: name = AKmcfQgIZYbUppuva, Type = Type.WILD, GetQuotient = 0.11764705882352941
2926: Tree: age = 67999, name = jEgRgJ, GetQuotient = 0.0
2927: Tree: age = 70966, name = XqNPBKmCYtthVjwQa, GetQuotient = 0.058823529411764705
2928: Flower: name = otuOewSwkdCXfODBdf, Type = Type.HOUSE, GetQuotient = 0.16666666666666666
2929: Bush: month = Month.SEPTEMBER, name = ADSEpJlmYomDZwMqPwg, GetQuotient = 0.05263157894736842
2930: Flower: name = focrLcOjBoxxFprVWHm, Type = Type.GARDEN, GetQuotient = 0.10526315789473684
2931: Tree: age = 9539, name = WpL, GetQuotient = 0.0
2932: Bush: month = Month.AUGUST, name = TFGfa, GetQuotient = 0.2
2933: Bush: month = Month.MAY, name = ZXUTQEvfCuoSygLTch, GetQuotient = 0.1111111111111111
2934: Tree: age = 18507, name = nPnkEukRIwIfffJGdw, GetQuotient = 0.05555555555555555
2935: Bush: month = Month.AUGUST, name = mqaIviXHeKufOV, GetQuotient = 0.2857142857142857
2936: Tree: age = 5323, name = rT, GetQuotient = 0.0
2937: Flower: name = VCzipoAtU, Type = Type.GARDEN, GetQuotient = 0.2222222222222222
2938: Tree: age = 64812, name = swPLMpPYuZTZrRN, GetQuotient = 0.06666666666666667
2939: Bush: month = Month.JANUARY, name = iTc, GetQuotient = 0.3333333333333333
2940: Flower: name = KAVC, Type = Type.HOUSE, GetQuotient = 0.0
2941: Bush: month = Month.FEBRUARY, name = GraBWOZb, GetQuotient = 0.125
2942: Bush: month = Month.NOVEMBER, name = HTIjVBVXamJPSZIgX, GetQuotient = 0.058823529411764705
2943: Tree: age = 32234, name = kKKJDt, GetQuotient = 0.0
2944: Flower: name = D, Type = Type.GARDEN, GetQuotient = 0.0
2945: Flower: name = rcqlajwbErlRWS, Type = Type.GARDEN, GetQuotient = 0.07142857142857142
2946: Flower: name = HYBvThhyDS, Type = Type.HOUSE, GetQuotient = 0.0
2947: Tree: age = 35514, name = URlAVnlRKHT, GetQuotient = 0.0
2948: Tree: age = 87259, name = vO, GetQuotient = 0.0
2949: Flower: name = DMOEEcG, Type = Type.HOUSE, GetQuotient = 0.0
2950: Tree: age = 90134, name = tdPpECQPTTxffJH, GetQuotient = 0.0
2951: Tree: age = 59692, name = QDCNIce, GetQuotient = 0.14285714285714285
2952: Tree: age = 22318, name = BgAAkmPkGCAB, GetQuotient = 0.0
2953: Bush: month = Month.MAY, name = EHcjPXFGTF, GetQuotient = 0.0
2954: Tree: age = 53694, name = mRSqqaCTmk, GetQuotient = 0.1
2955: Bush: month = Month.DECEMBER, name = tKjPrOQP, GetQuotient = 0.0
2956: Bush: month = Month.OCTOBER, name = pI, GetQuotient = 0.0
2957: Bush: month = Month.SEPTEMBER, name = WSNjdWv, GetQuotient = 0.0
2958: Flower: name = ZkhqRmQlB, Type = Type.WILD, GetQuotient = 0.0
2959: Bush: month = Month.NOVEMBER, name = OzysAkuDgWVMZWznWQx, GetQuotient = 0.05263157894736842
2960: Tree: age = 86199, name = gptvLp, GetQuotient = 0.0
2961: Bush: month = Month.OCTOBER, name = cAHhzJ, GetQuotient = 0.0
2962: Bush: month = Month.JULY, name = PRTkEdOLPwmH, GetQuotient = 0.0
2963: Flower: name = RmSgvKOqpmLCoEUgpz, Type = Type.WILD, GetQuotient = 0.05555555555555555
2964: Tree: age = 12778, name = yuKTOAEcHlkpYlLJzWHS, GetQuotient = 0.05
2965: Tree: age = 19447, name = bCgeCcUzaVssb, GetQuotient = 0.15384615384615385
2966: Flower: name = brYn, Type = Type.HOUSE, GetQuotient = 0.0
2967: Tree: age = 45878, name = ZRoEsGGDIAp, GetQuotient = 0.09090909090909091
2968: Bush: month = Month.MAY, name = LkcX, GetQuotient = 0.0
2969: Tree: age = 49438, name = EFDezMFitKGffLDt, GetQuotient = 0.125
2970: Flower: name = wZOCduDvVxYdOewJ, Type = Type.GARDEN, GetQuotient = 0.125
2971: Tree: age = 20643, name = UmfQcwCHhx, GetQuotient = 0.0
2972: Bush: month = Month.JANUARY, name = HxNKN, GetQuotient = 0.0
2973: Tree: age = 84230, name = anbPffKijySerpIBXFvw, GetQuotient = 0.15
2974: Tree: age = 53082, name = PYy, GetQuotient = 0.0
2975: Tree: age = 40942, name = tCBzoUiBKixaqlwE, GetQuotient = 0.25
2976: Tree: age = 89334, name = xkq, GetQuotient = 0.0
2977: Flower: name = cmxqsskkhm, Type = Type.GARDEN, GetQuotient = 0.0
2978: Flower: name = xVi, Type = Type.GARDEN, GetQuotient = 0.3333333333333333
2979: Bush: month = Month.JANUARY, name = XxkjRs, GetQuotient = 0.0
2980: Flower: name = CypBELfYqoGciwBiGZXu, Type = Type.HOUSE, GetQuotient = 0.2
2981: Bush: month = Month.JUNE, name = DYNWESOSHg, GetQuotient = 0.0
2982: Flower: name = DD, Type = Type.GARDEN, GetQuotient = 0.0
2983: Flower: name = GMdHlaeu, Type = Type.GARDEN, GetQuotient = 0.375
2984: Tree: age = 34363, name = XfKkJRJqjxbDE, GetQuotient = 0.0
2985: Bush: month = Month.MARCH, name = NJE, GetQuotient = 0.0
2986: Flower: name = yXOqP, Type = Type.WILD, GetQuotient = 0.0
2987: Flower: name = GfcUOMVGKfRfP, Type = Type.HOUSE, GetQuotient = 0.0
2988: Tree: age = 30193, name = OTsAVZko, GetQuotient = 0.125
2989: Tree: age = 58015, name = unubzufHqeHpvgA, GetQuotient = 0.26666666666666666
2990: Bush: month = Month.MARCH, name = marNorTv, GetQuotient = 0.25
2991: Tree: age = 39655, name = GNHxhTInXmbD, GetQuotient = 0.0
2992: Tree: age = 83129, name = GrulINqHdb, GetQuotient = 0.1
2993: Bush: month = Month.SEPTEMBER, name = qzbFqJHTSmEziMTX, GetQuotient = 0.0625
2994: Bush: month = Month.SEPTEMBER, name = IrCl, GetQuotient = 0.0
2995: Tree: age = 10254, name = IURTANSUdJFKArGVbrG, GetQuotient = 0.0
2996: Flower: name = KgMQIygo, Type = Type.GARDEN, GetQuotient = 0.125
2997: Tree: age = 33479, name = GjkBeiOmKQfgA, GetQuotient = 0.15384615384615385
2998: Flower: name = ZNpFhPOURyh, Type = Type.GARDEN, GetQuotient = 0.0
2999: Flower: name = mIGOVDPohi, Type = Type.HOUSE, GetQuotient = 0.2
3000: Bush: month = Month.DECEMBER, name = dU, GetQuotient = 0.0
3001: Tree: age = 9862, name = UySTLqJVMlDbhKXo, GetQuotient = 0.0625
3002: Bush: month = Month.MARCH, name = qaoNtFbzCCaLtEvie, GetQuotient = 0.29411764705882354
3003: Tree: age = 28869, name = BpsIiBTAnvHR, GetQuotient = 0.08333333333333333
3004: Tree: age = 92594, name = ujQDgpzU, GetQuotient = 0.125
3005: Tree: age = 78066, name = tJdqCewefxwlovpfnEoL, GetQuotient = 0.2
3006: Flower: name = RJwtyrFtPyyXm, Type = Type.HOUSE, GetQuotient = 0.0
3007: Bush: month = Month.FEBRUARY, name = uXob, GetQuotient = 0.5
3008: Tree: age = 68861, name = YLra, GetQuotient = 0.25
3009: Bush: month = Month.DECEMBER, name = ywDEaiHrmPeWOCMb, GetQuotient = 0.1875
3010: Bush: month = Month.JULY, name = xaaffm, GetQuotient = 0.3333333333333333
3011: Flower: name = DcfIV, Type = Type.WILD, GetQuotient = 0.0
3012: Bush: month = Month.JUNE, name = BUlvIokLcCPudhTvSB, GetQuotient = 0.1111111111111111
3013: Tree: age = 26173, name = HQoz, GetQuotient = 0.25
3014: Flower: name = sWIApYBjOZk, Type = Type.HOUSE, GetQuotient = 0.0
3015: Tree: age = 48487, name = mkZjRHgm, GetQuotient = 0.0
3016: Flower: name = FikoMODQFDfvmZCGQrs, Type = Type.GARDEN, GetQuotient = 0.10526315789473684
3017: Flower: name = BU, Type = Type.HOUSE, GetQuotient = 0.0
3018: Tree: age = 11126, name = FJeh, GetQuotient = 0.25
3019: Tree: age = 72036, name = loVpkzfqJZjXOOPifmH, GetQuotient = 0.10526315789473684
3020: Tree: age = 36292, name = JveEvSIeNqAVwwmGwrg, GetQuotient = 0.10526315789473684
3021: Bush: month = Month.NOVEMBER, name = QqmEVzeUlNNesONdx, GetQuotient = 0.11764705882352941
3022: Flower: name = pykvgbw, Type = Type.GARDEN, GetQuotient = 0.0
3023: Bush: month = Month.APRIL, name = RunhNkvhZHGBwH, GetQuotient = 0.07142857142857142
3024: Flower: name = mBwDyHvPWuTvIsJNF, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
3025: Bush: month = Month.JANUARY, name = z, GetQuotient = 0.0
3026: Tree: age = 57760, name = VsyzN, GetQuotient = 0.0
3027: Tree: age = 61771, name = cThZvXG, GetQuotient = 0.0
3028: Bush: month = Month.AUGUST, name = OXGPhkfaCcUuRSO, GetQuotient = 0.13333333333333333
3029: Tree: age = 45020, name = vSdszcb, GetQuotient = 0.0
3030: Flower: name = wZbfnEvwDAUDRtc, Type = Type.GARDEN, GetQuotient = 0.0
3031: Bush: month = Month.AUGUST, name = pNMgiNcuthTug, GetQuotient = 0.23076923076923078
3032: Tree: age = 45908, name = qeD, GetQuotient = 0.3333333333333333
3033: Bush: month = Month.MARCH, name = wKhsLxiFHqyYfqLYX, GetQuotient = 0.058823529411764705
3034: Tree: age = 34129, name = MCClPVtHdxooEoAkhvu, GetQuotient = 0.21052631578947367
3035: Bush: month = Month.MARCH, name = AmAcetnkU, GetQuotient = 0.1111111111111111
3036: Tree: age = 79696, name = tGcysQxhPfNjEOUatn, GetQuotient = 0.05555555555555555
3037: Tree: age = 45139, name = BgMDMoVBnBlEXdKlF, GetQuotient = 0.058823529411764705
3038: Flower: name = GjeTh, Type = Type.WILD, GetQuotient = 0.2
3039: Tree: age = 6480, name = wTlYtCVK, GetQuotient = 0.0
3040: Flower: name = iVoC, Type = Type.WILD, GetQuotient = 0.5
3041: Tree: age = 75246, name = euKseUebioKWixRvX, GetQuotient = 0.4117647058823529
3042: Flower: name = snjFBcIDbFSGboCIKdc, Type = Type.WILD, GetQuotient = 0.05263157894736842
3043: Tree: age = 27005, name = JwAHhAtWOFwLSWKKGpbO, GetQuotient = 0.0
3044: Flower: name = WCURpiWJCcV, Type = Type.GARDEN, GetQuotient = 0.09090909090909091
3045: Flower: name = ztHUFQClWjyrc, Type = Type.HOUSE, GetQuotient = 0.0
3046: Flower: name = D, Type = Type.HOUSE, GetQuotient = 0.0
3047: Flower: name = spdCDQrOJgZvQVUM, Type = Type.HOUSE, GetQuotient = 0.0
3048: Tree: age = 77022, name = ktAadmZXWAfULLMiYW, GetQuotient = 0.1111111111111111
3049: Bush: month = Month.JULY, name = HBhkUrXJuL, GetQuotient = 0.1
3050: Bush: month = Month.SEPTEMBER, name = zqhsPry, GetQuotient = 0.0
3051: Tree: age = 78704, name = NMnGtdxbWPZIbMTW, GetQuotient = 0.0
3052: Tree: age = 32302, name = KxcIPHitYyvkVRKB, GetQuotient = 0.0625
3053: Flower: name = XUAVqRBW, Type = Type.WILD, GetQuotient = 0.0
3054: Flower: name = GvxhSPB, Type = Type.GARDEN, GetQuotient = 0.0
3055: Flower: name = pqtrtejibYa, Type = Type.GARDEN, GetQuotient = 0.2727272727272727
3056: Flower: name = zTwRGKciWTs, Type = Type.HOUSE, GetQuotient = 0.09090909090909091
3057: Bush: month = Month.OCTOBER, name = MMcVEzbMUPxmDKigYeli, GetQuotient = 0.15
3058: Flower: name = Bzr, Type = Type.WILD, GetQuotient = 0.0
3059: Tree: age = 5354, name = XAvJhZvw, GetQuotient = 0.0
3060: Tree: age = 20261, name = TnLXOVB, GetQuotient = 0.0
3061: Bush: month = Month.JUNE, name = zokUCo, GetQuotient = 0.3333333333333333
3062: Flower: name = hmRbFzWBXIhz, Type = Type.HOUSE, GetQuotient = 0.0
3063: Tree: age = 62635, name = WIT, GetQuotient = 0.0
3064: Tree: age = 8921, name = YqPlcKXMSnACCARosrez, GetQuotient = 0.1
3065: Bush: month = Month.MARCH, name = WkLuiuPcfHlJgzcxOKGF, GetQuotient = 0.15
3066: Bush: month = Month.MAY, name = tYU, GetQuotient = 0.0
3067: Tree: age = 80114, name = mupsgkNceHYyMDQoDB, GetQuotient = 0.16666666666666666
