Sorted container:
Container is store 10000 plants:
0: Tree: age = 75372, name = a, GetQuotient = 1.0
2238: Flower: name = avWycfDHlfnaGWYoOwP, Type = Type.WILD, GetQuotient = 0.15789473684210525
2239: Bush: month = Month.JULY, name = iraHcQqUrjAabUnBPFq, GetQuotient = 0.15789473684210525
2240: Tree: age = 45968, name = lBqzvRmuZbTovGGpzeQ, GetQuotient = 0.15789473684210525
2241: Bush: month = Month.APRIL, name = xASflTJVAutIAuawJrU, GetQuotient = 0.15789473684210525
2242: Tree: age = 30353, name = uWzBvWmRBeZqcRqPxvu, GetQuotient = 0.15789473684210525
2243: Tree: age = 61716, name = ZbnPHYirxifrDGkuBTZ, GetQuotient = 0.15789473684210525
2244: Flower: name = kBnrAWmsNSgJoDIuMdi, Type = Type.GARDEN, GetQuotient = 0.15789473684210525
2245: Flower: name = fEvxuSCBgBANaODGHUo, Type = Type.GARDEN, GetQuotient = 0.15789473684210525
2246: Tree: age = 85491, name = RBayKkqpJWTeimJzDcZ, GetQuotient = 0.15789473684210525
2247: Bush: month = Month.SEPTEMBER, name = PxmDfowAKalhaXnOHrG, GetQuotient = 0.15789473684210525
2248: Flower: name = BugayCvnmSVZkNizjjD, Type = Type.WILD, GetQuotient = 0.15789473684210525
2249: Bush: month = Month.JANUARY, name = LoRJBwSlWgWEiARBezK, GetQuotient = 0.15789473684210525
2250: Bush: month = Month.SEPTEMBER, name = nNoRqdjTrGrHoSJtaOk, GetQuotient = 0.15789473684210525
2251: Tree: age = 82316, name = bkNweqjUFUxBoJhgHih, GetQuotient = 0.15789473684210525
2252: Bush: month = Month.OCTOBER, name = ZBchriTjAbNaVxoYzqF, GetQuotient = 0.15789473684210525
2253: Tree: age = 42243, name = dIlzaLTubAFQLTQnaFP, GetQuotient = 0.15789473684210525
2254: Tree: age = 38105, name = YVMiToSKCsiPQKWlyzh, GetQuotient = 0.15789473684210525
2255: Flower: name = YMiNOSxSMmIwVUZkexo, Type = Type.GARDEN, GetQuotient = 0.15789473684210525
2256: Bush: month = Month.JULY, name = oGAYyrjSuRSnufwgqkf, GetQuotient = 0.15789473684210525
2257: Bush: month = Month.APRIL, name = WQJqBXxGaUFpJeimEgV, GetQuotient = 0.15789473684210525
2258: Tree: age = 2125, name = eNUtyTMLZDafacFZstO, GetQuotient = 0.15789473684210525
2259: Flower: name = KdjIltboruXhtYNkpuI, Type = Type.HOUSE, GetQuotient = 0.15789473684210525
2260: Bush: month = Month.AUGUST, name = LWrXaWQvdzomRKAnonB, GetQuotient = 0.15789473684210525
2261: Tree: age = 37433, name = hkXUqeBsigSXRUoEnSk, GetQuotient = 0.15789473684210525
2262: Flower: name = olFVoBDdiOlIPRwhIzP, Type = Type.WILD, GetQuotient = 0.15789473684210525
2263: Flower: name = kTiMHpfLcPzSRmEVoLu, Type = Type.GARDEN, GetQuotient = 0.15789473684210525
2264: Flower: name = JlHvUceaErlYbmjWmRu, Type = Type.WILD, GetQuotient = 0.15789473684210525
2265: Bush: month = Month.JANUARY, name = erLPVkTrYorBXhosmUy, GetQuotient = 0.15789473684210525
2266: Bush: month = Month.APRIL, name = oOZURaYUYJStWKqcvay, GetQuotient = 0.15789473684210525
2267: Flower: name = PlxheOXuaURLZtlIOUk, Type = Type.HOUSE, GetQuotient = 0.15789473684210525
2268: Tree: age = 23026, name = GiEHHqyAeriVCUdgRwT, GetQuotient = 0.15789473684210525
2269: Flower: name = odtPaKpTMDWTBEoPnMj, Type = Type.WILD, GetQuotient = 0.15789473684210525
2270: Tree: age = 34065, name = YcKWaprbnXbdqGeNpeZ, GetQuotient = 0.15789473684210525
2271: Tree: age = 64840, name = MfcGookfgPnlngYDJro, GetQuotient = 0.15789473684210525
2272: Tree: age = 77739, name = EsTwMuMYBhkRfZyoZin, GetQuotient = 0.15789473684210525
2273: Tree: age = 62753, name = QNbuIBMvvckUveTkOYu, GetQuotient = 0.15789473684210525
2274: Flower: name = irakjsFeYsArOnKMSSF, Type = Type.GARDEN, GetQuotient = 0.15789473684210525
2275: Flower: name = soyhtUoOknkKGXMDQod, Type = Type.WILD, GetQuotient = 0.15789473684210525
2276: Flower: name = pRLpftUShxaorJJwOeE, Type = Type.WILD, GetQuotient = 0.15789473684210525
2277: Tree: age = 34752, name = meGOAiKCRjcHKgOHyej, GetQuotient = 0.15789473684210525
2278: Tree: age = 97078, name = sCvKuHRAFigYXqYeNAJ, GetQuotient = 0.15789473684210525
2279: Flower: name = ixfOjmjgpFoxEMKhMDi, Type = Type.GARDEN, GetQuotient = 0.15789473684210525
2280: Tree: age = 32226, name = zbuCLWlwSsejZjYzUIe, GetQuotient = 0.15789473684210525
2281: Bush: month = Month.OCTOBER, name = ELKobSREvoIJmduZTXq, GetQuotient = 0.15789473684210525
2282: Bush: month = Month.JUNE, name = aHFJBfjLvUiHqdoSXVA, GetQuotient = 0.15789473684210525
2283: Flower: name = zvwudtFBOTVVe, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2284: Bush: month = Month.JULY, name = tTIyhlMYiAePb, GetQuotient = 0.15384615384615385
2285: Bush: month = Month.APRIL, name = AmKmsSRPmOoiX, GetQuotient = 0.15384615384615385
2286: Bush: month = Month.MARCH, name = YJLGlcqaUOGFo, GetQuotient = 0.15384615384615385
2287: Bush: month = Month.JUNE, name = ekmOCUGxTlNga, GetQuotient = 0.15384615384615385
2288: Tree: age = 26200, name = KUNQAUvjYahad, GetQuotient = 0.15384615384615385
2289: Bush: month = Month.OCTOBER, name = cNjDorwSvunpL, GetQuotient = 0.15384615384615385
2290: Tree: age = 98833, name = GBlzZuYqJDUam, GetQuotient = 0.15384615384615385
2291: Tree: age = 96544, name = FRQJwiCZViVOH, GetQuotient = 0.15384615384615385
2292: Flower: name = dpKJPNYcicSen, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2293: Bush: month = Month.DECEMBER, name = eGQNTvevEZrbP, GetQuotient = 0.15384615384615385
2294: Flower: name = coXsOiOAnmjtd, Type = Type.WILD, GetQuotient = 0.15384615384615385
2295: Bush: month = Month.APRIL, name = GTIYliDSSJCFo, GetQuotient = 0.15384615384615385
2296: Flower: name = bzPYUuBDsbfqi, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2297: Tree: age = 75635, name = ovYKyFchJqeIm, GetQuotient = 0.15384615384615385
2298: Bush: month = Month.DECEMBER, name = qeyaYRgLYSmQD, GetQuotient = 0.15384615384615385
2299: Tree: age = 38256, name = XycYOXosFqHAu, GetQuotient = 0.15384615384615385
2300: Bush: month = Month.MAY, name = eVpbVuzqgQQUJ, GetQuotient = 0.15384615384615385
2301: Bush: month = Month.NOVEMBER, name = RJTrBbcajeqLC, GetQuotient = 0.15384615384615385
2302: Tree: age = 86266, name = hSasdYqGqzaVX, GetQuotient = 0.15384615384615385
2303: Tree: age = 32664, name = mboJhTVsVnwQa, GetQuotient = 0.15384615384615385
2304: Tree: age = 42886, name = aEBhtsKDIkeCI, GetQuotient = 0.15384615384615385
2305: Tree: age = 11219, name = eIdEhNoITrqHT, GetQuotient = 0.15384615384615385
2306: Tree: age = 3053, name = inGSCUiXHBmfh, GetQuotient = 0.15384615384615385
2307: Flower: name = ZmjgqsYnwbXei, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2308: Flower: name = xKkEuduIJQEFW, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2309: Flower: name = RyOKNoziqkgyq, Type = Type.WILD, GetQuotient = 0.15384615384615385
2310: Flower: name = fVyDbPzXeoTBV, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2311: Tree: age = 32796, name = RloKZDCvpirnA, GetQuotient = 0.15384615384615385
2312: Bush: month = Month.AUGUST, name = UFIVxdmidasQL, GetQuotient = 0.15384615384615385
2313: Flower: name = XOiuvzLPJcbqw, Type = Type.WILD, GetQuotient = 0.15384615384615385
2314: Bush: month = Month.DECEMBER, name = UFBAobPbnXolj, GetQuotient = 0.15384615384615385
2315: Tree: age = 234, name = IUBSMLBtoyZeI, GetQuotient = 0.15384615384615385
2316: Bush: month = Month.DECEMBER, name = hvcuHMOIgwmYi, GetQuotient = 0.15384615384615385
2317: Flower: name = qlakhoEqHndEY, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2318: Flower: name = vdAOOuqgBNDUe, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2319: Flower: name = LXzePInbWenGQ, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2320: Tree: age = 69758, name = mNxXVotcZEyoq, GetQuotient = 0.15384615384615385
2321: Bush: month = Month.SEPTEMBER, name = XCTKTirqrrztu, GetQuotient = 0.15384615384615385
2322: Flower: name = rWdWdohoJbDRn, Type = Type.WILD, GetQuotient = 0.15384615384615385
2323: Flower: name = XlDXXmaqwgivt, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2324: Bush: month = Month.NOVEMBER, name = KMNosdabXmGND, GetQuotient = 0.15384615384615385
2325: Flower: name = ywOZtidEtGwoI, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2326: Tree: age = 7012, name = fAtcZzXlLeaOf, GetQuotient = 0.15384615384615385
2327: Tree: age = 19447, name = bCgeCcUzaVssb, GetQuotient = 0.15384615384615385
2328: Tree: age = 33479, name = GjkBeiOmKQfgA, GetQuotient = 0.15384615384615385
2329: Tree: age = 63462, name = GMXUzPiZaPLYF, GetQuotient = 0.15384615384615385
2330: Tree: age = 69769, name = aMYAhTiAsjtqF, GetQuotient = 0.15384615384615385
2331: Tree: age = 95090, name = XnaLjKzJuCzyZ, GetQuotient = 0.15384615384615385
2332: Flower: name = LRCKqqEiYFPwu, Type = Type.WILD, GetQuotient = 0.15384615384615385
2333: Flower: name = MBpaLDxiGlWXk, Type = Type.WILD, GetQuotient = 0.15384615384615385
2334: Tree: age = 90853, name = zQuiKFFXPEGrO, GetQuotient = 0.15384615384615385
2335: Tree: age = 13659, name = HpWaQaCGURzRN, GetQuotient = 0.15384615384615385
2336: Bush: month = Month.MAY, name = BnWqoaChUyQkc, GetQuotient = 0.15384615384615385
2337: Flower: name = MWLbjEtqNSCui, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2338: Bush: month = Month.FEBRUARY, name = ICTDewvvDPseE, GetQuotient = 0.15384615384615385
2339: Tree: age = 98943, name = GUdTYoiWlzwBT, GetQuotient = 0.15384615384615385
2340: Tree: age = 86924, name = VyzeweAMILjSs, GetQuotient = 0.15384615384615385
2341: Bush: month = Month.JUNE, name = uKGrDxYZzgDos, GetQuotient = 0.15384615384615385
2342: Bush: month = Month.JULY, name = IucEkSBNyTzuZ, GetQuotient = 0.15384615384615385
2343: Tree: age = 70805, name = OTqsUIuDerOIV, GetQuotient = 0.15384615384615385
2344: Tree: age = 5954, name = eLjgmCnGvDiJm, GetQuotient = 0.15384615384615385
2345: Bush: month = Month.NOVEMBER, name = iEgsLkLoPzRgR, GetQuotient = 0.15384615384615385
2346: Tree: age = 19708, name = VsWqAtriAWQeO, GetQuotient = 0.15384615384615385
2347: Bush: month = Month.OCTOBER, name = bXuFRdUndjaRz, GetQuotient = 0.15384615384615385
2348: Flower: name = PegXFbEYubtnW, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2349: Tree: age = 22718, name = YixXkOuslNWFm, GetQuotient = 0.15384615384615385
2350: Tree: age = 29624, name = fqwavgClRKIti, GetQuotient = 0.15384615384615385
2351: Tree: age = 94911, name = QYZyuYkaBPhvr, GetQuotient = 0.15384615384615385
2352: Tree: age = 42867, name = TumOBFBzmWXpe, GetQuotient = 0.15384615384615385
2353: Flower: name = yPhDIWhenkCew, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2354: Bush: month = Month.MARCH, name = AghyZvemcyefz, GetQuotient = 0.15384615384615385
2355: Tree: age = 70989, name = vONjGteHflFaP, GetQuotient = 0.15384615384615385
2356: Bush: month = Month.MAY, name = UKjnUHJSoeJwQ, GetQuotient = 0.15384615384615385
2357: Tree: age = 46434, name = owvYRoTjcDENd, GetQuotient = 0.15384615384615385
2358: Flower: name = UpaJFayEmYzFt, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2359: Tree: age = 27469, name = xqVClrZNacspe, GetQuotient = 0.15384615384615385
2360: Bush: month = Month.JANUARY, name = wCgyrmTNPwajo, GetQuotient = 0.15384615384615385
2361: Bush: month = Month.JULY, name = HxdkoEAJQRDfu, GetQuotient = 0.15384615384615385
2362: Flower: name = LFttOoAUGoJLC, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2363: Flower: name = AeHQgXDxnnweL, Type = Type.WILD, GetQuotient = 0.15384615384615385
2364: Flower: name = eNjjejJlJTNhV, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2365: Tree: age = 18203, name = aNYmAAEqZoAxP, GetQuotient = 0.15384615384615385
2366: Bush: month = Month.AUGUST, name = zYiWqmyLWDseO, GetQuotient = 0.15384615384615385
2367: Bush: month = Month.MARCH, name = XzYWORLAmikeO, GetQuotient = 0.15384615384615385
2368: Bush: month = Month.AUGUST, name = iQQZMcBgmayCL, GetQuotient = 0.15384615384615385
2369: Bush: month = Month.APRIL, name = HUKNuEGINXFFo, GetQuotient = 0.15384615384615385
2370: Flower: name = luyFmLOOHaRLR, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2371: Tree: age = 99970, name = bfklaDhukQMRK, GetQuotient = 0.15384615384615385
2372: Flower: name = BXrZVbsRWpeuW, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2373: Bush: month = Month.OCTOBER, name = cxeuwyywJjlQc, GetQuotient = 0.15384615384615385
2374: Tree: age = 50905, name = paBnagwlfjGJB, GetQuotient = 0.15384615384615385
2375: Tree: age = 19297, name = HkfmCyaQuCGEE, GetQuotient = 0.15384615384615385
2376: Flower: name = goOnudUBBbWdq, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2377: Bush: month = Month.NOVEMBER, name = xZawYgxgabfYb, GetQuotient = 0.15384615384615385
2378: Tree: age = 20198, name = QsYaKkPkAvezX, GetQuotient = 0.15384615384615385
2379: Flower: name = oJWNIbxgUKKaG, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2380: Flower: name = pOWqkgoamntfD, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2381: Tree: age = 89660, name = iBFzRYBqZhDot, GetQuotient = 0.15384615384615385
2382: Tree: age = 58044, name = qUqjwohuJSIEQ, GetQuotient = 0.15384615384615385
2383: Flower: name = alTkITExcvuIl, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2384: Flower: name = izMweJkbDLfGl, Type = Type.WILD, GetQuotient = 0.15384615384615385
2385: Tree: age = 64429, name = PLbXruaEPLEFm, GetQuotient = 0.15384615384615385
2386: Tree: age = 27548, name = KEOltHceuZtrc, GetQuotient = 0.15384615384615385
2387: Flower: name = IMQIiIQeVQJVn, Type = Type.WILD, GetQuotient = 0.15384615384615385
2388: Flower: name = VzBSWIiMotWvL, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2389: Bush: month = Month.APRIL, name = lAeHebDpxMNnv, GetQuotient = 0.15384615384615385
2390: Flower: name = oBUtcOBRuzkJp, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2391: Tree: age = 34929, name = KEbqDRugTpkeW, GetQuotient = 0.15384615384615385
2392: Flower: name = agcNEomnJhOPm, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2393: Flower: name = iVsSPcqjiAhGv, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2394: Flower: name = aMPTERAIyuCnK, Type = Type.HOUSE, GetQuotient = 0.15384615384615385
2395: Flower: name = YYzojtcOQGnic, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2396: Tree: age = 41226, name = ZikWZlcmMLciE, GetQuotient = 0.15384615384615385
2397: Tree: age = 79092, name = vmlQkTczaunLz, GetQuotient = 0.15384615384615385
2398: Bush: month = Month.JANUARY, name = JbpsoaEhBbZsB, GetQuotient = 0.15384615384615385
2399: Bush: month = Month.DECEMBER, name = JCTEadeMKExAE, GetQuotient = 0.15384615384615385
2400: Flower: name = cviWvHnWfMRXu, Type = Type.WILD, GetQuotient = 0.15384615384615385
2401: Flower: name = cSIFeJBZmoZWM, Type = Type.WILD, GetQuotient = 0.15384615384615385
2402: Flower: name = TiyIZUZfaUykt, Type = Type.WILD, GetQuotient = 0.15384615384615385
2403: Bush: month = Month.MAY, name = fPxoxDoPqxnQW, GetQuotient = 0.15384615384615385
2404: Flower: name = PCuJGefOHmyBK, Type = Type.WILD, GetQuotient = 0.15384615384615385
2405: Bush: month = Month.AUGUST, name = DkeyLoxlcAOVX, GetQuotient = 0.15384615384615385
2406: Flower: name = UMqiuJJsRWHTI, Type = Type.GARDEN, GetQuotient = 0.15384615384615385
2407: Bush: month = Month.APRIL, name = eCEyxZQgwmlav, GetQuotient = 0.15384615384615385
2408: Tree: age = 1793, name = eHeXlGWMrYkLk, GetQuotient = 0.15384615384615385
2409: Tree: age = 98364, name = aSQkkWpQVaslX, GetQuotient = 0.15384615384615385
2410: Bush: month = Month.DECEMBER, name = QHdmgEHeHivzK, GetQuotient = 0.15384615384615385
2411: Tree: age = 48381, name = mZbCioDOqSQYCmxHZijL, GetQuotient = 0.15
2412: Flower: name = oGXNHMvoHWPbVPvPCevU, Type = Type.WILD, GetQuotient = 0.15
2413: Bush: month = Month.OCTOBER, name = pGvRxijZgrccNzcvVxuo, GetQuotient = 0.15
2414: Flower: name = YeukMObZeSmOAKykXAZn, Type = Type.GARDEN, GetQuotient = 0.15
2415: Bush: month = Month.SEPTEMBER, name = DqpdGVsrQpSQBidfiePc, GetQuotient = 0.15
2416: Tree: age = 37907, name = IIwPKerZeJcYxcVpPveW, GetQuotient = 0.15
2417: Flower: name = oyaKVrMnRDmgudQRpBcW, Type = Type.GARDEN, GetQuotient = 0.15
2418: Tree: age = 15597, name = ElDMSVWiYXwPweEPahSO, GetQuotient = 0.15
2419: Bush: month = Month.NOVEMBER, name = oyiJOxjRsMAgkViMyfQp, GetQuotient = 0.15
2420: Bush: month = Month.JULY, name = yYuBXIIANjkRuACWehAw, GetQuotient = 0.15
2421: Bush: month = Month.SEPTEMBER, name = QdAzhSEIoiGHgVXiXGwE, GetQuotient = 0.15
2422: Bush: month = Month.FEBRUARY, name = OqhRqedRBUuHQopfXIrf, GetQuotient = 0.15
2423: Flower: name = rOsZTHdMnnwwLIiHPuoP, Type = Type.WILD, GetQuotient = 0.15
2424: Bush: month = Month.APRIL, name = GAyPZTGXVuzmsQifuSyt, GetQuotient = 0.15
2425: Flower: name = bEaqXwCesacMQXzEhFrb, Type = Type.GARDEN, GetQuotient = 0.15
2426: Tree: age = 81350, name = bYFOShJuuuSctyzhfNpg, GetQuotient = 0.15
2427: Flower: name = bchxHMeArwxKZaaUQvCm, Type = Type.GARDEN, GetQuotient = 0.15
2428: Bush: month = Month.SEPTEMBER, name = TMhDGoGRFJnLlhvWiazM, GetQuotient = 0.15
2429: Flower: name = JhuDxXHTEfOxpurdenTz, Type = Type.WILD, GetQuotient = 0.15
2430: Bush: month = Month.AUGUST, name = ufFUsQRRBBrudOBaPHbF, GetQuotient = 0.15
2431: Tree: age = 48571, name = YAlRCQabXSpFpiALUpeE, GetQuotient = 0.15
2432: Bush: month = Month.APRIL, name = aMnMAIjsPQaqqNgQOfuR, GetQuotient = 0.15
2433: Bush: month = Month.OCTOBER, name = oezHGYOAEXkWpuRrPBzA, GetQuotient = 0.15
2434: Flower: name = QozAaPZZfMChtjmxYbek, Type = Type.WILD, GetQuotient = 0.15
2435: Flower: name = dDVESeXmkidySwiWxRgb, Type = Type.WILD, GetQuotient = 0.15
2436: Tree: age = 64419, name = bPnLpOfypfYaaeXjhfJD, GetQuotient = 0.15
2437: Flower: name = HjkFEgXBrxaTrMnBuTle, Type = Type.HOUSE, GetQuotient = 0.15
2438: Bush: month = Month.JANUARY, name = koBAtKFaboFBLyUMfTEy, GetQuotient = 0.15
2439: Tree: age = 927, name = STvMlsPViUYyggLkeyza, GetQuotient = 0.15
2440: Bush: month = Month.MAY, name = aIFSVAdgOwRuiGVDszMs, GetQuotient = 0.15
2441: Bush: month = Month.JANUARY, name = UjCxYHKKxuTmuvLycloM, GetQuotient = 0.15
2442: Bush: month = Month.MARCH, name = nTfQENtacMMEfSJCaqKi, GetQuotient = 0.15
2443: Flower: name = PdjxahMgtGDZwQViwEiA, Type = Type.GARDEN, GetQuotient = 0.15
2444: Tree: age = 4184, name = llrWiNabYpHFDPsROCHa, GetQuotient = 0.15
2445: Tree: age = 18120, name = hZrnKimmMSbDeCMaqAMO, GetQuotient = 0.15
2446: Flower: name = sloAdSUVxlFAeOzBUiAM, Type = Type.GARDEN, GetQuotient = 0.15
2447: Flower: name = wFTjiBDfpEuIZDbvvCSa, Type = Type.WILD, GetQuotient = 0.15
2448: Tree: age = 42257, name = ufCQNjruUeqgFmnYlAjY, GetQuotient = 0.15
2449: Flower: name = WCXVoRlgzCxQwUeDBiRq, Type = Type.HOUSE, GetQuotient = 0.15
2450: Tree: age = 84230, name = anbPffKijySerpIBXFvw, GetQuotient = 0.15
2451: Bush: month = Month.OCTOBER, name = MMcVEzbMUPxmDKigYeli, GetQuotient = 0.15
2452: Bush: month = Month.MARCH, name = WkLuiuPcfHlJgzcxOKGF, GetQuotient = 0.15
2453: Bush: month = Month.OCTOBER, name = PQfuoHVUCLUkduGDddQF, GetQuotient = 0.15
2454: Bush: month = Month.JUNE, name = bhZatpWJIYiFHmAjvSaj, GetQuotient = 0.15
2455: Bush: month = Month.AUGUST, name = mxAItpRFElrivapopmvH, GetQuotient = 0.15
2456: Tree: age = 8084, name = JiGHGRFJiuMXMTmGmnJD, GetQuotient = 0.15
2457: Flower: name = NzWiNMgszOubaQcIjqhN, Type = Type.WILD, GetQuotient = 0.15
2458: Tree: age = 65816, name = eHpivtVvcGrXphaJsrBy, GetQuotient = 0.15
2459: Tree: age = 47449, name = eAZsgioWBhYVnWfrlIhU, GetQuotient = 0.15
2460: Flower: name = EaibAACpdukpNtHKELOS, Type = Type.HOUSE, GetQuotient = 0.15
2461: Bush: month = Month.AUGUST, name = yUgYAnrqwdSrtMaheJuw, GetQuotient = 0.15
2462: Bush: month = Month.JANUARY, name = FQNPGpYxFoQRzZdjiXHe, GetQuotient = 0.15
2463: Tree: age = 2144, name = gRGuXutPcFsorMThWVcY, GetQuotient = 0.15
2464: Tree: age = 1710, name = isTurfHGexvlYzXNbrtD, GetQuotient = 0.15
2465: Flower: name = GHaCCDnRFSeneXvOxRAy, Type = Type.HOUSE, GetQuotient = 0.15
2466: Bush: month = Month.DECEMBER, name = UOFRuTizsjZprZeqpmgm, GetQuotient = 0.15
2467: Flower: name = uiZODFMbXcyqxuEvIGrO, Type = Type.HOUSE, GetQuotient = 0.15
2468: Tree: age = 87722, name = QaXbqxdCHdejrBXnuYLW, GetQuotient = 0.15
2469: Tree: age = 72236, name = edtvJrtKeqKxlxfQeZfN, GetQuotient = 0.15
2470: Flower: name = ciKJJMmOiQqbXgpkVuFg, Type = Type.HOUSE, GetQuotient = 0.15
2471: Flower: name = BCHHneiIEgwhFQTzVgiz, Type = Type.HOUSE, GetQuotient = 0.15
2472: Tree: age = 94991, name = eXwkUbdIAiDoHLrsLpfD, GetQuotient = 0.15
2473: Tree: age = 62605, name = pveVITwWXNTGjgomRCaT, GetQuotient = 0.15
2474: Tree: age = 15238, name = CIZaQYmORakGGtoQkWAS, GetQuotient = 0.15
2475: Flower: name = BKoPtcAZFnaWFXCOKTYo, Type = Type.WILD, GetQuotient = 0.15
2476: Bush: month = Month.APRIL, name = NZPJBuJCPvVcbofXaTfE, GetQuotient = 0.15
2477: Bush: month = Month.OCTOBER, name = CexqPOkXLIjzbPkaYMeB, GetQuotient = 0.15
2478: Bush: month = Month.JANUARY, name = dfhMZexfTiQYwfwGpXLe, GetQuotient = 0.15
2479: Flower: name = XVxTpayAfjQWunDGOaRO, Type = Type.GARDEN, GetQuotient = 0.15
2480: Flower: name = kMYxMQjIajoNwzOtMaAF, Type = Type.GARDEN, GetQuotient = 0.15
2481: Bush: month = Month.NOVEMBER, name = QhjEBIeFospuLjjqOQCP, GetQuotient = 0.15
2482: Bush: month = Month.FEBRUARY, name = hiDndOfAZmkOieXhXVsx, GetQuotient = 0.15
2483: Bush: month = Month.NOVEMBER, name = YNxRgJNjUlfKNTegsrei, GetQuotient = 0.15
2484: Flower: name = yLxUyjKQgKJLicuvyDge, Type = Type.WILD, GetQuotient = 0.15
2485: Tree: age = 98494, name = MaibwnvvrkvazFdUyZkh, GetQuotient = 0.15
2486: Flower: name = XKMQdixUwdiELeCzQEpA, Type = Type.WILD, GetQuotient = 0.15
2487: Tree: age = 6900, name = TFUzlauYzkRCDncFyiqk, GetQuotient = 0.15
2488: Flower: name = CfLvACTJuIPrayHTCxuU, Type = Type.GARDEN, GetQuotient = 0.15
2489: Bush: month = Month.SEPTEMBER, name = ddhivutkCbJGaWdjNPkg, GetQuotient = 0.15
2490: Flower: name = cDgSXfXIuJoXuVpHppzg, Type = Type.GARDEN, GetQuotient = 0.15
2491: Tree: age = 86736, name = kwtgcZQNwcYoEijAiEWp, GetQuotient = 0.15
2492: Tree: age = 38778, name = HooCgUDMtgurANJCfbzT, GetQuotient = 0.15
2493: Flower: name = tHzUeWngrgufZIsUdOuN, Type = Type.WILD, GetQuotient = 0.15
2494: Bush: month = Month.SEPTEMBER, name = XRiwoFzyXZecVmGSMdTb, GetQuotient = 0.15
2495: Tree: age = 67367, name = popNvlmCnuifYcWQTQJq, GetQuotient = 0.15
2496: Flower: name = neAiWIYnInvDoxlSCGgc, Type = Type.GARDEN, GetQuotient = 0.15
2497: Flower: name = sMzquniJvidzHyjWjxXD, Type = Type.HOUSE, GetQuotient = 0.15
2498: Flower: name = HckBBpDWUahiLPYuRCVy, Type = Type.HOUSE, GetQuotient = 0.15
2499: Tree: age = 92104, name = LhTyzFormSplbqGIaBXo, GetQuotient = 0.15
2500: Tree: age = 84261, name = CejRfPdbhNDbKetGHVca, GetQuotient = 0.15
2501: Tree: age = 34296, name = RqhugbuZFnmVVxYtraKU, GetQuotient = 0.15
2502: Flower: name = iphMxjTBinghqCLJnaLA, Type = Type.HOUSE, GetQuotient = 0.15
2503: Tree: age = 69920, name = YStoUQkoSPZgVllHVzne, GetQuotient = 0.15
2504: Flower: name = UDnJAkadXNzoxqazCttx, Type = Type.GARDEN, GetQuotient = 0.15
2505: Tree: age = 17977, name = DkiWJEEPGgZVuDroHtmJ, GetQuotient = 0.15
2506: Tree: age = 10706, name = VvzymWxNnudKRNxGPYei, GetQuotient = 0.15
2507: Flower: name = aGtxuExoEAHlgRcjczOj, Type = Type.WILD, GetQuotient = 0.15
2508: Bush: month = Month.MAY, name = tCxhetEHkewNpSuMDLfB, GetQuotient = 0.15
2509: Bush: month = Month.MAY, name = nTTzXveCFXHGlaYeUHGc, GetQuotient = 0.15
2510: Bush: month = Month.MARCH, name = oUrdBOYWxePGnCOZAloD, GetQuotient = 0.15
2511: Tree: age = 9767, name = rDWpBxEqeLjrambCJetC, GetQuotient = 0.15
2512: Bush: month = Month.SEPTEMBER, name = qIxyakbmodkFCeIsFmmp, GetQuotient = 0.15
2513: Tree: age = 94644, name = WJNANpcbRliaeNVGNdPM, GetQuotient = 0.15
2514: Flower: name = QbMiuVMmlpEMkIwocMPp, Type = Type.GARDEN, GetQuotient = 0.15
2515: Bush: month = Month.SEPTEMBER, name = PtxxuFTENaxqkZeUSJFg, GetQuotient = 0.15
2516: Bush: month = Month.SEPTEMBER, name = EaHZPPwMgghjOdewdUUu, GetQuotient = 0.15
2517: Flower: name = vZaTPBANwOsbfZefUuLR, Type = Type.HOUSE, GetQuotient = 0.15
