Sorted container:
Container is store 1000 plants:
0: Bush: month = Month.SEPTEMBER, name = a, GetQuotient = 1.0
322: Bush: month = Month.APRIL, name = mnEztQoJ, GetQuotient = 0.125
323: Bush: month = Month.JUNE, name = lpJPiQUNEGQPundH, GetQuotient = 0.125
324: Bush: month = Month.JUNE, name = MNXdqdlYXgkoaJYq, GetQuotient = 0.125
325: Bush: month = Month.FEBRUARY, name = arJaRTcFRMYHkApl, GetQuotient = 0.125
326: Flower: name = xAtETyaE, Type = Type.GARDEN, GetQuotient = 0.125
327: Flower: name = yPcnsReb, Type = Type.GARDEN, GetQuotient = 0.125
328: Bush: month = Month.FEBRUARY, name = IbnRaZsc, GetQuotient = 0.125
329: Flower: name = lfaQPakJYFxrjnmN, Type = Type.WILD, GetQuotient = 0.125
330: Bush: month = Month.OCTOBER, name = PepVbAEOrwoBBmTV, GetQuotient = 0.125
331: Flower: name = oQpPPOVT, Type = Type.WILD, GetQuotient = 0.125
332: Flower: name = kOBCdmeS, Type = Type.GARDEN, GetQuotient = 0.125
333: Bush: month = Month.DECEMBER, name = wqiXTkIZ, GetQuotient = 0.125
334: Flower: name = xEGyMCyo, Type = Type.GARDEN, GetQuotient = 0.125
335: Tree: age = 95250, name = fNPyojtc, GetQuotient = 0.125
336: Tree: age = 39253, name = fulmbZgK, GetQuotient = 0.125
337: Tree: age = 58369, name = OgzoIfUU, GetQuotient = 0.125
338: Flower: name = rODIteNC, Type = Type.GARDEN, GetQuotient = 0.125
339: Flower: name = HHPbEgcliIdPYFNu, Type = Type.GARDEN, GetQuotient = 0.125
340: Flower: name = yFWXwiLI, Type = Type.HOUSE, GetQuotient = 0.125
341: Bush: month = Month.APRIL, name = wNyRWoDjWutNMjVI, GetQuotient = 0.125
342: Flower: name = nKfFToXw, Type = Type.GARDEN, GetQuotient = 0.125
343: Flower: name = kTpihdhm, Type = Type.GARDEN, GetQuotient = 0.125
344: Bush: month = Month.JUNE, name = eUsJdnHidlLmKdVk, GetQuotient = 0.125
345: Flower: name = QjadomyKtzdIUHBx, Type = Type.GARDEN, GetQuotient = 0.125
346: Bush: month = Month.JANUARY, name = MHsKrigVgObsSwaS, GetQuotient = 0.125
347: Tree: age = 86950, name = RuxBvBKl, GetQuotient = 0.125
348: Bush: month = Month.JANUARY, name = uXOMsnIR, GetQuotient = 0.125
349: Flower: name = DCiBsmTl, Type = Type.GARDEN, GetQuotient = 0.125
350: Tree: age = 20083, name = UbYMASam, GetQuotient = 0.125
351: Bush: month = Month.DECEMBER, name = cekUaXJHyUOYsYJQI, GetQuotient = 0.11764705882352941
352: Flower: name = RSbrlaYxXaIbPIDAH, Type = Type.WILD, GetQuotient = 0.11764705882352941
353: Tree: age = 39044, name = mfwZepzXymOBGDiNS, GetQuotient = 0.11764705882352941
354: Tree: age = 78701, name = cfIKQtSSaFJNaOvct, GetQuotient = 0.11764705882352941
355: Tree: age = 16995, name = dIADfuRvkxBJQuvjr, GetQuotient = 0.11764705882352941
356: Flower: name = bVBhlgzDaeRxDfhEr, Type = Type.GARDEN, GetQuotient = 0.11764705882352941
357: Bush: month = Month.DECEMBER, name = TSoULWGDePQjHxSyw, GetQuotient = 0.11764705882352941
358: Tree: age = 61591, name = gyXUdFJhYXuyYxvoA, GetQuotient = 0.11764705882352941
359: Flower: name = cZuDzxyUODgPiSBgn, Type = Type.GARDEN, GetQuotient = 0.11764705882352941
360: Bush: month = Month.AUGUST, name = cmYvPloqwmViFYvZQ, GetQuotient = 0.11764705882352941
361: Tree: age = 36448, name = KkLHpRVfASyiozRSd, GetQuotient = 0.11764705882352941
362: Bush: month = Month.NOVEMBER, name = aobvQsOjQbqbpItIx, GetQuotient = 0.11764705882352941
363: Tree: age = 78626, name = wXHqziBuwvsSXbFKS, GetQuotient = 0.11764705882352941
364: Bush: month = Month.NOVEMBER, name = jQwWwIEneCcbdoYGG, GetQuotient = 0.11764705882352941
365: Tree: age = 55493, name = rTLSUDYSsubuZCBFc, GetQuotient = 0.11764705882352941
366: Tree: age = 72331, name = aVtpfOsJcagLkLTxU, GetQuotient = 0.11764705882352941
367: Flower: name = PPXUPNwkgsaOPAohN, Type = Type.HOUSE, GetQuotient = 0.11764705882352941
368: Bush: month = Month.MAY, name = saCtuEjVqTWGFHTEK, GetQuotient = 0.11764705882352941
369: Tree: age = 16343, name = hIVrJDhUIFhQmMZeiE, GetQuotient = 0.1111111111111111
370: Tree: age = 20825, name = rTPMjYCxnVEiUPXpuS, GetQuotient = 0.1111111111111111
371: Tree: age = 75278, name = VWhafWJZO, GetQuotient = 0.1111111111111111
372: Flower: name = pyefydQXk, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
373: Bush: month = Month.NOVEMBER, name = RtBizNYUE, GetQuotient = 0.1111111111111111
374: Flower: name = GyAjRvVag, Type = Type.WILD, GetQuotient = 0.1111111111111111
375: Bush: month = Month.NOVEMBER, name = eWNnLtaCRAfAsPdNfp, GetQuotient = 0.1111111111111111
376: Tree: age = 98489, name = ZJqDUKiAB, GetQuotient = 0.1111111111111111
377: Bush: month = Month.JULY, name = DwLFkBWLa, GetQuotient = 0.1111111111111111
378: Bush: month = Month.APRIL, name = lgKITQbYlTocitjOZX, GetQuotient = 0.1111111111111111
379: Tree: age = 36854, name = FbmxuUdPO, GetQuotient = 0.1111111111111111
380: Flower: name = txjFCLvoB, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
381: Bush: month = Month.MAY, name = DTATzvEoJTVaUTqmgZ, GetQuotient = 0.1111111111111111
382: Tree: age = 6897, name = jYZxkdoqzUViRwLmgx, GetQuotient = 0.1111111111111111
383: Tree: age = 35908, name = QszMwovyw, GetQuotient = 0.1111111111111111
384: Tree: age = 91621, name = OKWMfyiXR, GetQuotient = 0.1111111111111111
385: Tree: age = 14662, name = mxuPnCRHqQmWIgTWuC, GetQuotient = 0.1111111111111111
386: Bush: month = Month.MAY, name = LTNvXqCeX, GetQuotient = 0.1111111111111111
387: Flower: name = RsHBPepwsqKIjfeZFj, Type = Type.WILD, GetQuotient = 0.1111111111111111
388: Flower: name = RfazqcLLUyPshiqqkI, Type = Type.HOUSE, GetQuotient = 0.1111111111111111
389: Bush: month = Month.APRIL, name = eyVMIKOqpmCljbwnoN, GetQuotient = 0.1111111111111111
390: Tree: age = 94589, name = RGiROtkFh, GetQuotient = 0.1111111111111111
391: Bush: month = Month.APRIL, name = MWjKiaAOqCpvlHKYEm, GetQuotient = 0.1111111111111111
392: Bush: month = Month.APRIL, name = aPIwdYqXI, GetQuotient = 0.1111111111111111
393: Flower: name = VwvUsBupfgQCiDkpEG, Type = Type.HOUSE, GetQuotient = 0.1111111111111111
394: Bush: month = Month.OCTOBER, name = XoxbLJBmduYcCDRmgtV, GetQuotient = 0.10526315789473684
395: Tree: age = 83617, name = qzcJJkUkMZJeSJAeENl, GetQuotient = 0.10526315789473684
396: Flower: name = MaFwQtasDgzIqQwGhsz, Type = Type.HOUSE, GetQuotient = 0.10526315789473684
397: Bush: month = Month.APRIL, name = fofRlGxYzCBrkQonqzc, GetQuotient = 0.10526315789473684
398: Bush: month = Month.SEPTEMBER, name = RacxPsKRaTrpQXyOSBZ, GetQuotient = 0.10526315789473684
399: Tree: age = 29292, name = HuWgdrqEEAamlHwOZng, GetQuotient = 0.10526315789473684
400: Tree: age = 76248, name = aWRmBNxFDumqIGIEsYz, GetQuotient = 0.10526315789473684
401: Bush: month = Month.DECEMBER, name = zDdaNtzMTYIognQNDSt, GetQuotient = 0.10526315789473684
402: Tree: age = 70159, name = hMApuyOoFWlJbOlvFZq, GetQuotient = 0.10526315789473684
403: Bush: month = Month.MAY, name = BZCCorqEdnMODLdaBAT, GetQuotient = 0.10526315789473684
404: Bush: month = Month.APRIL, name = vuTwBhCbVPEQZBeFFCnB, GetQuotient = 0.1
405: Flower: name = XyfhGfjnuZ, Type = Type.WILD, GetQuotient = 0.1
406: Flower: name = TwVBlXEHaI, Type = Type.WILD, GetQuotient = 0.1
407: Flower: name = RSGAADetwVFAEWOMoymO, Type = Type.HOUSE, GetQuotient = 0.1
408: Flower: name = xEQJvhXQza, Type = Type.WILD, GetQuotient = 0.1
409: Bush: month = Month.AUGUST, name = qfiAZdOpDHejYWMwswxR, GetQuotient = 0.1
410: Tree: age = 88323, name = WKwboFtCsQ, GetQuotient = 0.1
411: Bush: month = Month.AUGUST, name = ZmAriNLNPj, GetQuotient = 0.1
412: Flower: name = SlYIHgocSM, Type = Type.GARDEN, GetQuotient = 0.1
413: Flower: name = IHbLpcDdjLUHGvcIaboO, Type = Type.WILD, GetQuotient = 0.1
414: Tree: age = 90155, name = ZORWuKHUBtiLbEmTlgxJ, GetQuotient = 0.1
415: Bush: month = Month.JANUARY, name = yhAHVGxojG, GetQuotient = 0.1
416: Tree: age = 19503, name = KTdFVyMfak, GetQuotient = 0.1
417: Bush: month = Month.AUGUST, name = nsKBnCkHuy, GetQuotient = 0.1
418: Bush: month = Month.JANUARY, name = kjJyeTGSYP, GetQuotient = 0.1
419: Flower: name = KoLmlxrEQj, Type = Type.WILD, GetQuotient = 0.1
420: Bush: month = Month.AUGUST, name = GhhqUlmvun, GetQuotient = 0.1
421: Flower: name = OjGAUYWQBowXzVMxGDus, Type = Type.HOUSE, GetQuotient = 0.1
422: Tree: age = 60554, name = jcKlILuDpR, GetQuotient = 0.1
423: Bush: month = Month.JANUARY, name = ssSvrGFNzUplzcBTtuOa, GetQuotient = 0.1
424: Bush: month = Month.JANUARY, name = DIIQMFjxAsLXPqaFLxiy, GetQuotient = 0.1
425: Bush: month = Month.MARCH, name = wxPhaTEcxIJTBUEsBhoR, GetQuotient = 0.1
426: Bush: month = Month.DECEMBER, name = ZxIXqisffx, GetQuotient = 0.1
427: Tree: age = 10585, name = FdAUVcJCeg, GetQuotient = 0.1
428: Bush: month = Month.OCTOBER, name = fZfoCqtIcGFGhuNLENDb, GetQuotient = 0.1
429: Flower: name = OCZecrDGOkyABxURhiHT, Type = Type.WILD, GetQuotient = 0.1
430: Tree: age = 17547, name = MoOABRzLER, GetQuotient = 0.1
431: Bush: month = Month.NOVEMBER, name = yOnpZhndeB, GetQuotient = 0.1
432: Tree: age = 69869, name = gOKexkjDbg, GetQuotient = 0.1
433: Flower: name = DWxIRodcrDlOkIzKCaWs, Type = Type.WILD, GetQuotient = 0.1
434: Tree: age = 66414, name = ntZRrwBITu, GetQuotient = 0.1
435: Bush: month = Month.AUGUST, name = kzSCOryedg, GetQuotient = 0.1
436: Flower: name = FXwmQNvOol, Type = Type.WILD, GetQuotient = 0.1
437: Flower: name = AWssFgVmay, Type = Type.GARDEN, GetQuotient = 0.1
438: Bush: month = Month.SEPTEMBER, name = RTnZoEMbDlE, GetQuotient = 0.09090909090909091
439: Bush: month = Month.JANUARY, name = DxjiHtHysyn, GetQuotient = 0.09090909090909091
440: Tree: age = 46497, name = FXpwucAKnDY, GetQuotient = 0.09090909090909091
441: Bush: month = Month.APRIL, name = AReDcMNIsqW, GetQuotient = 0.09090909090909091
442: Bush: month = Month.JUNE, name = iUlngXQCmKg, GetQuotient = 0.09090909090909091
443: Flower: name = XVaxAzrxsyH, Type = Type.HOUSE, GetQuotient = 0.09090909090909091
444: Bush: month = Month.MAY, name = kFNtmUqLIJi, GetQuotient = 0.09090909090909091
445: Tree: age = 47315, name = wuLVBlpfOkU, GetQuotient = 0.09090909090909091
446: Tree: age = 67094, name = VeOXFMJDDVG, GetQuotient = 0.09090909090909091
447: Tree: age = 32120, name = MYAXmOichbS, GetQuotient = 0.09090909090909091
448: Tree: age = 72983, name = eztJNcnPOwH, GetQuotient = 0.09090909090909091
449: Flower: name = YpdBaTlCYDQ, Type = Type.HOUSE, GetQuotient = 0.09090909090909091
450: Flower: name = IDfZPfPKiCO, Type = Type.HOUSE, GetQuotient = 0.09090909090909091
451: Tree: age = 69261, name = SfTYDGJiPtl, GetQuotient = 0.09090909090909091
452: Flower: name = QYtXnSQRjeB, Type = Type.GARDEN, GetQuotient = 0.09090909090909091
453: Bush: month = Month.MARCH, name = bvnlNdOeAjkQ, GetQuotient = 0.08333333333333333
454: Flower: name = zslLIKuZmptF, Type = Type.WILD, GetQuotient = 0.08333333333333333
455: Bush: month = Month.JUNE, name = rYknCFFbMteN, GetQuotient = 0.08333333333333333
456: Bush: month = Month.OCTOBER, name = OwYmBBnBQKaR, GetQuotient = 0.08333333333333333
457: Bush: month = Month.OCTOBER, name = YPLmoqfHXrPC, GetQuotient = 0.08333333333333333
458: Tree: age = 18566, name = HLNVzWMriDTO, GetQuotient = 0.08333333333333333
459: Flower: name = RDllbMTiNUBp, Type = Type.WILD, GetQuotient = 0.08333333333333333
460: Tree: age = 6182, name = JvhigjrEkpnc, GetQuotient = 0.08333333333333333
461: Flower: name = pKgcoMAGDxbj, Type = Type.GARDEN, GetQuotient = 0.08333333333333333
462: Flower: name = fWemhyvFDDAs, Type = Type.HOUSE, GetQuotient = 0.08333333333333333
463: Bush: month = Month.MAY, name = kHXKnENaqIJK, GetQuotient = 0.08333333333333333
464: Tree: age = 66978, name = mBBqJnGGekjF, GetQuotient = 0.08333333333333333
465: Bush: month = Month.FEBRUARY, name = ZhGREqKRelAj, GetQuotient = 0.08333333333333333
466: Tree: age = 19069, name = LNOPUSbfepjP, GetQuotient = 0.08333333333333333
467: Bush: month = Month.DECEMBER, name = vxLnyDIaTJqk, GetQuotient = 0.08333333333333333
468: Flower: name = sUejrFnygmHb, Type = Type.HOUSE, GetQuotient = 0.08333333333333333
469: Bush: month = Month.DECEMBER, name = dnmPMZinmhqZ, GetQuotient = 0.08333333333333333
470: Tree: age = 34748, name = thCORBxvtEDo, GetQuotient = 0.08333333333333333
471: Flower: name = bghpcRrApIXi, Type = Type.WILD, GetQuotient = 0.08333333333333333
472: Bush: month = Month.FEBRUARY, name = zdTAzTrKTzoj, GetQuotient = 0.08333333333333333
473: Tree: age = 11695, name = nkJwJgmNbcDi, GetQuotient = 0.08333333333333333
474: Tree: age = 19697, name = AlqiUlOQbPOJ, GetQuotient = 0.08333333333333333
475: Tree: age = 3682, name = XWWfkdvlYiLC, GetQuotient = 0.08333333333333333
476: Tree: age = 22162, name = ZotCyHnNwXIF, GetQuotient = 0.08333333333333333
477: Bush: month = Month.SEPTEMBER, name = mUnJVDdiLTLs, GetQuotient = 0.08333333333333333
478: Bush: month = Month.JUNE, name = aKPmpWMMtVZRH, GetQuotient = 0.07692307692307693
479: Bush: month = Month.NOVEMBER, name = vlzCEQiTdkCpU, GetQuotient = 0.07692307692307693
480: Flower: name = FZqtcjxFuNLxq, Type = Type.WILD, GetQuotient = 0.07692307692307693
481: Bush: month = Month.NOVEMBER, name = QtyiInvwvWdTK, GetQuotient = 0.07692307692307693
482: Flower: name = rGXKXsQFazcWl, Type = Type.GARDEN, GetQuotient = 0.07692307692307693
483: Tree: age = 89212, name = zGzCRFMUiAMEG, GetQuotient = 0.07692307692307693
484: Tree: age = 14474, name = mJJhBnWftvBaL, GetQuotient = 0.07692307692307693
485: Flower: name = ChPqBecpwGNMf, Type = Type.GARDEN, GetQuotient = 0.07692307692307693
486: Bush: month = Month.APRIL, name = wKmGslUeJYjHr, GetQuotient = 0.07692307692307693
487: Flower: name = rVbaPJZRsIrTJ, Type = Type.HOUSE, GetQuotient = 0.07692307692307693
488: Bush: month = Month.MAY, name = PvWFQcEpbBTMi, GetQuotient = 0.07692307692307693
489: Flower: name = UAumjRLLyBzIh, Type = Type.HOUSE, GetQuotient = 0.07692307692307693
490: Tree: age = 45164, name = jwmLzITefZbXb, GetQuotient = 0.07692307692307693
491: Tree: age = 5579, name = KnNgevcHvrJkN, GetQuotient = 0.07692307692307693
492: Bush: month = Month.NOVEMBER, name = qMmkDFtqmZebg, GetQuotient = 0.07692307692307693
493: Flower: name = zoNbzZKYqCzyP, Type = Type.WILD, GetQuotient = 0.07692307692307693
494: Bush: month = Month.MARCH, name = hcAqimVSKqsmj, GetQuotient = 0.07692307692307693
495: Tree: age = 46040, name = ebltApJDAJLyn, GetQuotient = 0.07692307692307693
496: Tree: age = 4102, name = lKzzURlWxvwWu, GetQuotient = 0.07692307692307693
497: Bush: month = Month.APRIL, name = bPbZXEulKRVQZ, GetQuotient = 0.07692307692307693
498: Flower: name = nWvaMgclnrnhF, Type = Type.WILD, GetQuotient = 0.07692307692307693
499: Bush: month = Month.JUNE, name = hpRUrraqJVGZx, GetQuotient = 0.07692307692307693
500: Flower: name = NwScHCbJDUpuMn, Type = Type.WILD, GetQuotient = 0.07142857142857142
501: Bush: month = Month.APRIL, name = kMywsTpXUkYTAa, GetQuotient = 0.07142857142857142
502: Bush: month = Month.DECEMBER, name = fIRyoVVvdUykJM, GetQuotient = 0.07142857142857142
503: Bush: month = Month.AUGUST, name = PZpOCVAVjYQYCu, GetQuotient = 0.07142857142857142
504: Bush: month = Month.MARCH, name = IZZfsypqAuTRkL, GetQuotient = 0.07142857142857142
505: Flower: name = PYshZLSFviTmyH, Type = Type.GARDEN, GetQuotient = 0.07142857142857142
506: Bush: month = Month.JUNE, name = dFIOBfejCfENZZ, GetQuotient = 0.07142857142857142
507: Tree: age = 25857, name = PvNCxFwtlreklT, GetQuotient = 0.07142857142857142
508: Bush: month = Month.MAY, name = MwrJMToltdLHgj, GetQuotient = 0.07142857142857142
509: Bush: month = Month.SEPTEMBER, name = rgXpVSTYhXglNa, GetQuotient = 0.07142857142857142
510: Bush: month = Month.MAY, name = RQEuszWEGWAjVt, GetQuotient = 0.07142857142857142
511: Flower: name = rSHDXVjktmgurt, Type = Type.HOUSE, GetQuotient = 0.07142857142857142
512: Tree: age = 84452, name = YnYKDzpbPaYRGAg, GetQuotient = 0.06666666666666667
513: Bush: month = Month.MAY, name = ydFZZRdfpPOCgZi, GetQuotient = 0.06666666666666667
514: Flower: name = WjkdkydRaVBrXbN, Type = Type.HOUSE, GetQuotient = 0.06666666666666667
515: Tree: age = 56880, name = UpdhMrxNxsGIWeH, GetQuotient = 0.06666666666666667
516: Bush: month = Month.JANUARY, name = NBVAYuqVxcSJKrU, GetQuotient = 0.06666666666666667
517: Tree: age = 53489, name = QTrfCPqrwQnaQbR, GetQuotient = 0.06666666666666667
518: Tree: age = 5228, name = lodKBVgNBVJZzXB, GetQuotient = 0.06666666666666667
519: Bush: month = Month.AUGUST, name = EjvmQNDAoETzAUl, GetQuotient = 0.06666666666666667
520: Tree: age = 69160, name = WNnCVTorUcHbAjn, GetQuotient = 0.06666666666666667
521: Bush: month = Month.JUNE, name = pgUyMXSGuWWbNWW, GetQuotient = 0.06666666666666667
522: Flower: name = jGcWEcSOgbeDTJF, Type = Type.WILD, GetQuotient = 0.06666666666666667
523: Flower: name = PElhCZYyvPnIiSh, Type = Type.GARDEN, GetQuotient = 0.06666666666666667
524: Flower: name = LBCEfYQAagwOjEY, Type = Type.GARDEN, GetQuotient = 0.06666666666666667
525: Tree: age = 33640, name = UrZTMsnqfSifLCk, GetQuotient = 0.06666666666666667
526: Flower: name = LkjFxkLOsNBGaKr, Type = Type.GARDEN, GetQuotient = 0.06666666666666667
527: Flower: name = TrzAvYIheSNqHZDC, Type = Type.HOUSE, GetQuotient = 0.0625
528: Tree: age = 59806, name = qoTXbcHXXgORrAQd, GetQuotient = 0.0625
529: Flower: name = PKONkqWrxxrbBMoj, Type = Type.WILD, GetQuotient = 0.0625
530: Bush: month = Month.SEPTEMBER, name = GddnovKOSUhrLslp, GetQuotient = 0.0625
531: Bush: month = Month.AUGUST, name = IQYOCmDAnnYuzrhW, GetQuotient = 0.0625
532: Flower: name = MAEzBraqMJtVlydM, Type = Type.GARDEN, GetQuotient = 0.0625
533: Bush: month = Month.SEPTEMBER, name = BhiOtbngKTkmfFqG, GetQuotient = 0.0625
534: Flower: name = CGYwuJSfmgrrCkwT, Type = Type.WILD, GetQuotient = 0.0625
535: Flower: name = znelJzrTTsKqjLOW, Type = Type.HOUSE, GetQuotient = 0.0625
536: Tree: age = 78469, name = EPzqAShucXFGNBHg, GetQuotient = 0.0625
537: Flower: name = VXImjRLZRMJlPmbe, Type = Type.GARDEN, GetQuotient = 0.0625
538: Flower: name = rytfuJKLNUdvpckG, Type = Type.HOUSE, GetQuotient = 0.0625
539: Bush: month = Month.JULY, name = NdiYWWOUTlfVmHlv, GetQuotient = 0.0625
540: Tree: age = 27987, name = nrEPytRmUeDYDQzM, GetQuotient = 0.0625
541: Tree: age = 2708, name = YCQHyylynBDSoKCH, GetQuotient = 0.0625
542: Bush: month = Month.MARCH, name = TFcZjsMycIztVuWMd, GetQuotient = 0.058823529411764705
543: Bush: month = Month.FEBRUARY, name = ODeZZFqPlHRhlPVck, GetQuotient = 0.058823529411764705
544: Flower: name = cQGugIIUmZsHYlZyg, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
545: Tree: age = 85491, name = zltZCcFfZXzpMudXt, GetQuotient = 0.058823529411764705
546: Bush: month = Month.MARCH, name = vEIjPPOYTbQamMWFI, GetQuotient = 0.058823529411764705
547: Bush: month = Month.APRIL, name = dMWCkBDwFwqimjgNE, GetQuotient = 0.058823529411764705
548: Bush: month = Month.FEBRUARY, name = wXuGnByVKtGCFEdQU, GetQuotient = 0.058823529411764705
549: Bush: month = Month.NOVEMBER, name = ilbMxhSSTRdSwQfrM, GetQuotient = 0.058823529411764705
550: Flower: name = LnzPYRheYxdSGybPy, Type = Type.WILD, GetQuotient = 0.058823529411764705
551: Bush: month = Month.JULY, name = OTCdgjhcQrEirqcFl, GetQuotient = 0.058823529411764705
552: Flower: name = cgQbNSdTQTHRczDLe, Type = Type.GARDEN, GetQuotient = 0.058823529411764705
553: Flower: name = iTsMnAwxJBGXqnfQY, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
554: Flower: name = ZGBsHTklRfOeTsvId, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
555: Tree: age = 91919, name = CjflZKEEFHNlazDAN, GetQuotient = 0.058823529411764705
556: Tree: age = 69076, name = oJjWUfPEprtfAFOSR, GetQuotient = 0.058823529411764705
557: Tree: age = 98806, name = WSWmxMSbzLLONnSuV, GetQuotient = 0.058823529411764705
558: Flower: name = SALXEpXacPDmYfFFR, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
559: Bush: month = Month.NOVEMBER, name = QITVVOJypLkrtRnoc, GetQuotient = 0.058823529411764705
560: Bush: month = Month.MARCH, name = NovwQtjjvFRDbgkYh, GetQuotient = 0.058823529411764705
561: Tree: age = 71839, name = qjicRPWLcATlVgGSx, GetQuotient = 0.058823529411764705
562: Flower: name = dhVQqWJPswqSaUHgG, Type = Type.GARDEN, GetQuotient = 0.058823529411764705
563: Tree: age = 69331, name = pXqxAhLGcAotCNDXK, GetQuotient = 0.058823529411764705
564: Bush: month = Month.APRIL, name = QWPhbphfZqmzdlvwi, GetQuotient = 0.058823529411764705
565: Bush: month = Month.DECEMBER, name = CCfVPOnGnZoyyCfRH, GetQuotient = 0.058823529411764705
566: Flower: name = cyzbXtLuOsrcQLGngP, Type = Type.HOUSE, GetQuotient = 0.05555555555555555
567: Tree: age = 2091, name = EgeJPIDzqknrLLXnJD, GetQuotient = 0.05555555555555555
568: Bush: month = Month.JANUARY, name = dYqfxzFRoAWtYPprdQ, GetQuotient = 0.05555555555555555
569: Flower: name = UDBSySjdHfCctVnubW, Type = Type.GARDEN, GetQuotient = 0.05555555555555555
570: Bush: month = Month.MARCH, name = xkLqJIiZERrqUkyUfl, GetQuotient = 0.05555555555555555
571: Tree: age = 35958, name = aZMwDXQDtIADMtfpIM, GetQuotient = 0.05555555555555555
572: Bush: month = Month.AUGUST, name = CeJKMhFGJOWhSrwhsF, GetQuotient = 0.05555555555555555
573: Bush: month = Month.NOVEMBER, name = saApENzqhEdvjPOkty, GetQuotient = 0.05555555555555555
574: Bush: month = Month.FEBRUARY, name = KyUwRDPjVFscsUxBZu, GetQuotient = 0.05555555555555555
575: Tree: age = 51535, name = xjUGURAOuKfPFTvyvc, GetQuotient = 0.05555555555555555
576: Bush: month = Month.NOVEMBER, name = epjtOSkYOMIQpXIEWS, GetQuotient = 0.05555555555555555
577: Flower: name = ZlPShsOnblpFfVtaWg, Type = Type.HOUSE, GetQuotient = 0.05555555555555555
578: Tree: age = 53597, name = XrdfNZzgWeNGhUFjVS, GetQuotient = 0.05555555555555555
579: Bush: month = Month.DECEMBER, name = mRpJwDiWRkdrHBdvkf, GetQuotient = 0.05555555555555555
580: Bush: month = Month.JANUARY, name = EWpZrWwVvsoGWYCwMsS, GetQuotient = 0.05263157894736842
581: Tree: age = 62359, name = MyCHCVbeUqqrMjLymlW, GetQuotient = 0.05263157894736842
582: Bush: month = Month.JANUARY, name = DYVZWFDLglXRqPeHpgR, GetQuotient = 0.05263157894736842
583: Flower: name = UonmGjdxYFFhEMTZlxA, Type = Type.HOUSE, GetQuotient = 0.05263157894736842
584: Tree: age = 19763, name = wiyRSHPfdFAKrxSZrJf, GetQuotient = 0.05263157894736842
585: Bush: month = Month.FEBRUARY, name = BBXJSMeSNclyklkcjvk, GetQuotient = 0.05263157894736842
586: Tree: age = 90051, name = jahvShHRqglMptYWqzI, GetQuotient = 0.05263157894736842
587: Tree: age = 45281, name = XFOCKRBSyhGThfIloSL, GetQuotient = 0.05263157894736842
588: Flower: name = OTGJCPjriHmjMsLVAGF, Type = Type.WILD, GetQuotient = 0.05263157894736842
589: Flower: name = YoOcOcKkpWZyOsIkndt, Type = Type.HOUSE, GetQuotient = 0.05263157894736842
590: Flower: name = BUzAweRDBHxKEgURpIZ, Type = Type.GARDEN, GetQuotient = 0.05263157894736842
591: Bush: month = Month.MARCH, name = nkaRxHZPUFVtfGSPKBU, GetQuotient = 0.05263157894736842
592: Bush: month = Month.JANUARY, name = FNxYXMpadWwvQtrHHSd, GetQuotient = 0.05263157894736842
593: Flower: name = AxebDMxKwbBKWprFOEN, Type = Type.HOUSE, GetQuotient = 0.05263157894736842
594: Bush: month = Month.MAY, name = IMfnqVIMsnSEydoczFL, GetQuotient = 0.05263157894736842
595: Flower: name = kmTMYTMYhrqCiHwjCQjb, Type = Type.GARDEN, GetQuotient = 0.05
596: Bush: month = Month.DECEMBER, name = NVZFchaFtSDrQEbdcYLC, GetQuotient = 0.05
597: Tree: age = 14111, name = yidqdHJlEOrWAHyfIDSZ, GetQuotient = 0.05
598: Tree: age = 11399, name = TVTKpIfdEOkZijjtFURd, GetQuotient = 0.05
599: Flower: name = GcItedtKqVcSQEHNhwfT, Type = Type.HOUSE, GetQuotient = 0.05
600: Bush: month = Month.FEBRUARY, name = pKpJZlCHnEmAjPIrOJho, GetQuotient = 0.05
601: Flower: name = wQHvZocVyGZVqMrNsJPk, Type = Type.WILD, GetQuotient = 0.05
602: Flower: name = uqWtyObOdkyrqqKBOGyt, Type = Type.GARDEN, GetQuotient = 0.05
603: Tree: age = 97845, name = HthwXFiYHCHbVrfZmQnF, GetQuotient = 0.05
604: Flower: name = kkXyAoAWSNGJpcByqspT, Type = Type.HOUSE, GetQuotient = 0.05
605: Bush: month = Month.JUNE, name = RwTeknnFpMnWEhAyEcGk, GetQuotient = 0.05
606: Tree: age = 66613, name = itEgkQXwUlYYRyVMdSJp, GetQuotient = 0.05
607: Flower: name = pVONBxzZVFgJvYKYbiOW, Type = Type.WILD, GetQuotient = 0.05
608: Flower: name = IkIQLQJBcWtIIJZuyUqH, Type = Type.GARDEN, GetQuotient = 0.05
609: Bush: month = Month.OCTOBER, name = hyZbPurPlGZQDBABHnmw, GetQuotient = 0.05
610: Bush: month = Month.OCTOBER, name = NkEWWaVbkswzVKdGWVSr, GetQuotient = 0.05
611: Bush: month = Month.MAY, name = BGn, GetQuotient = 0.0
612: Flower: name = VzSXMIEPKvVwBMU, Type = Type.HOUSE, GetQuotient = 0.0
